E /V	I /uA	E /V	I /uA
0.099	0.511	0.099	0.495
0.100	0.495	0.100	0.482
0.100	0.492	0.100	0.483
0.101	0.482	0.101	0.471
0.101	0.488	0.101	0.489
0.102	0.483	0.102	0.472
0.102	0.479	0.102	0.474
0.102	0.476	0.102	0.469
0.103	0.480	0.103	0.479
0.103	0.471	0.103	0.469
0.104	0.472	0.104	0.465
0.104	0.469	0.104	0.468
0.105	0.468	0.105	0.462
0.105	0.468	0.105	0.453
0.106	0.465	0.106	0.456
0.106	0.460	0.106	0.446
0.107	0.457	0.107	0.462
0.107	0.460	0.107	0.453
0.108	0.453	0.108	0.448
0.108	0.453	0.108	0.436
0.109	0.456	0.109	0.448
0.110	0.449	0.110	0.437
0.110	0.445	0.110	0.436
0.111	0.446	0.111	0.431
0.111	0.443	0.111	0.445
0.112	0.442	0.112	0.434
0.112	0.433	0.112	0.430
0.113	0.431	0.113	0.422
0.113	0.433	0.113	0.428
0.114	0.434	0.114	0.419
0.114	0.433	0.114	0.423
0.115	0.426	0.115	0.414
0.115	0.436	0.115	0.428
0.116	0.428	0.116	0.419
0.116	0.426	0.116	0.422
0.117	0.417	0.117	0.403
0.117	0.420	0.117	0.414
0.117	0.414	0.117	0.400
0.118	0.420	0.118	0.407
0.118	0.411	0.118	0.397
0.119	0.413	0.119	0.403
0.119	0.399	0.119	0.393
0.120	0.402	0.120	0.397
0.120	0.402	0.120	0.387
0.121	0.405	0.121	0.385
0.121	0.400	0.121	0.385
0.122	0.387	0.122	0.388
0.122	0.390	0.122	0.380
0.123	0.403	0.123	0.388
0.123	0.393	0.123	0.374
0.124	0.393	0.124	0.388
0.125	0.382	0.125	0.371
0.125	0.393	0.125	0.384
0.126	0.377	0.126	0.370
0.126	0.380	0.126	0.371
0.127	0.373	0.127	0.364
0.127	0.374	0.127	0.370
0.128	0.374	0.128	0.364
0.128	0.376	0.128	0.361
0.129	0.359	0.129	0.359
0.129	0.371	0.129	0.353
0.130	0.354	0.130	0.351
0.130	0.368	0.130	0.354
0.131	0.356	0.131	0.342
0.131	0.370	0.131	0.362
0.132	0.359	0.132	0.348
0.132	0.361	0.132	0.348
0.133	0.347	0.133	0.345
0.133	0.353	0.133	0.345
0.134	0.350	0.134	0.331
0.134	0.345	0.134	0.328
0.135	0.342	0.135	0.341
0.135	0.347	0.135	0.339
0.136	0.338	0.136	0.324
0.136	0.338	0.136	0.333
0.137	0.330	0.137	0.321
0.137	0.328	0.137	0.330
0.138	0.330	0.138	0.319
0.138	0.341	0.138	0.325
0.139	0.324	0.139	0.316
0.139	0.330	0.139	0.322
0.140	0.324	0.140	0.311
0.140	0.325	0.140	0.307
0.141	0.328	0.141	0.301
0.141	0.319	0.141	0.315
0.141	0.318	0.141	0.304
0.142	0.321	0.142	0.301
0.142	0.310	0.142	0.301
0.143	0.315	0.143	0.313
0.143	0.302	0.143	0.296
0.144	0.305	0.144	0.296
0.144	0.304	0.144	0.293
0.145	0.308	0.145	0.293
0.145	0.304	0.145	0.290
0.146	0.299	0.146	0.287
0.146	0.298	0.146	0.287
0.147	0.304	0.147	0.304
0.147	0.301	0.147	0.282
0.148	0.299	0.148	0.281
0.148	0.290	0.148	0.275
0.149	0.290	0.149	0.276
0.149	0.288	0.149	0.275
0.150	0.293	0.150	0.273
0.150	0.282	0.150	0.278
0.151	0.288	0.151	0.278
0.151	0.288	0.151	0.268
0.152	0.284	0.152	0.273
0.152	0.273	0.152	0.265
0.153	0.279	0.153	0.265
0.153	0.273	0.153	0.261
0.154	0.273	0.154	0.262
0.154	0.270	0.154	0.259
0.155	0.282	0.155	0.270
0.155	0.267	0.155	0.249
0.156	0.267	0.156	0.253
0.157	0.268	0.157	0.252
0.157	0.268	0.157	0.255
0.158	0.259	0.158	0.250
0.158	0.272	0.158	0.256
0.159	0.259	0.159	0.249
0.159	0.262	0.159	0.245
0.160	0.261	0.160	0.236
0.160	0.259	0.160	0.242
0.161	0.255	0.161	0.236
0.161	0.250	0.161	0.241
0.162	0.258	0.162	0.235
0.162	0.247	0.162	0.233
0.163	0.244	0.163	0.233
0.163	0.247	0.163	0.239
0.164	0.245	0.164	0.229
0.164	0.239	0.164	0.230
0.165	0.253	0.165	0.232
0.165	0.249	0.165	0.232
0.166	0.235	0.166	0.224
0.166	0.239	0.166	0.226
0.167	0.238	0.167	0.218
0.167	0.241	0.167	0.227
0.168	0.241	0.168	0.219
0.168	0.235	0.168	0.219
0.169	0.230	0.169	0.216
0.169	0.227	0.169	0.226
0.170	0.227	0.170	0.213
0.170	0.229	0.170	0.216
0.171	0.238	0.171	0.212
0.171	0.230	0.171	0.213
0.172	0.227	0.172	0.212
0.172	0.227	0.172	0.209
0.172	0.222	0.172	0.215
0.173	0.219	0.173	0.207
0.173	0.221	0.173	0.203
0.174	0.221	0.174	0.199
0.174	0.213	0.174	0.195
0.175	0.218	0.175	0.201
0.175	0.213	0.175	0.192
0.176	0.213	0.176	0.204
0.176	0.219	0.176	0.195
0.177	0.213	0.177	0.199
0.177	0.216	0.177	0.195
0.178	0.213	0.178	0.196
0.178	0.203	0.178	0.192
0.179	0.210	0.179	0.192
0.179	0.209	0.179	0.184
0.180	0.209	0.180	0.189
0.180	0.204	0.180	0.186
0.181	0.203	0.181	0.190
0.181	0.207	0.181	0.186
0.182	0.196	0.182	0.187
0.182	0.201	0.182	0.183
0.183	0.192	0.183	0.184
0.183	0.203	0.183	0.181
0.184	0.201	0.184	0.178
0.184	0.196	0.184	0.173
0.185	0.210	0.185	0.180
0.185	0.199	0.185	0.173
0.186	0.199	0.186	0.172
0.186	0.189	0.186	0.183
0.187	0.198	0.187	0.176
0.188	0.198	0.188	0.169
0.188	0.196	0.188	0.173
0.189	0.189	0.189	0.176
0.189	0.192	0.189	0.183
0.190	0.186	0.190	0.164
0.190	0.186	0.190	0.172
0.191	0.186	0.191	0.166
0.191	0.187	0.191	0.164
0.192	0.186	0.192	0.164
0.192	0.180	0.192	0.169
0.193	0.178	0.193	0.160
0.193	0.176	0.193	0.170
0.194	0.172	0.194	0.166
0.194	0.178	0.194	0.166
0.195	0.176	0.195	0.161
0.195	0.181	0.195	0.172
0.196	0.178	0.196	0.164
0.196	0.169	0.196	0.155
0.197	0.170	0.197	0.158
0.197	0.175	0.197	0.150
0.198	0.173	0.198	0.155
0.198	0.175	0.198	0.160
0.199	0.169	0.199	0.152
0.199	0.167	0.199	0.160
0.200	0.172	0.200	0.153
0.200	0.169	0.200	0.147
0.201	0.167	0.201	0.155
0.201	0.166	0.201	0.152
0.202	0.163	0.202	0.150
0.202	0.163	0.202	0.152
0.203	0.166	0.203	0.152
0.203	0.164	0.203	0.144
0.203	0.166	0.203	0.147
0.204	0.161	0.204	0.149
0.204	0.164	0.204	0.144
0.205	0.164	0.205	0.143
0.205	0.161	0.205	0.144
0.206	0.160	0.206	0.144
0.206	0.150	0.206	0.143
0.207	0.157	0.207	0.143
0.207	0.153	0.207	0.150
0.208	0.153	0.208	0.138
0.208	0.152	0.208	0.150
0.209	0.157	0.209	0.137
0.209	0.149	0.209	0.144
0.210	0.153	0.210	0.137
0.210	0.147	0.210	0.141
0.211	0.153	0.211	0.143
0.211	0.155	0.211	0.137
0.212	0.150	0.212	0.137
0.212	0.143	0.212	0.137
0.213	0.152	0.213	0.138
0.213	0.150	0.213	0.141
0.214	0.150	0.214	0.140
0.214	0.149	0.214	0.141
0.215	0.144	0.215	0.134
0.215	0.149	0.215	0.137
0.216	0.149	0.216	0.135
0.216	0.144	0.216	0.132
0.217	0.146	0.217	0.138
0.217	0.152	0.217	0.123
0.218	0.147	0.218	0.143
0.219	0.141	0.219	0.134
0.219	0.141	0.219	0.132
0.220	0.149	0.220	0.130
0.220	0.138	0.220	0.135
0.221	0.146	0.221	0.143
0.221	0.143	0.221	0.132
0.222	0.140	0.222	0.130
0.222	0.141	0.222	0.126
0.223	0.138	0.223	0.129
0.223	0.134	0.223	0.130
0.224	0.143	0.224	0.138
0.224	0.137	0.224	0.124
0.225	0.137	0.225	0.123
0.225	0.135	0.225	0.130
0.226	0.140	0.226	0.124
0.226	0.135	0.226	0.124
0.227	0.140	0.227	0.127
0.227	0.143	0.227	0.129
0.228	0.137	0.228	0.120
0.228	0.137	0.228	0.123
0.229	0.134	0.229	0.126
0.229	0.129	0.229	0.124
0.230	0.140	0.230	0.123
0.230	0.132	0.230	0.129
0.231	0.132	0.231	0.124
0.231	0.126	0.231	0.123
0.232	0.135	0.232	0.127
0.232	0.130	0.232	0.120
0.233	0.127	0.233	0.121
0.233	0.138	0.233	0.124
0.234	0.129	0.234	0.121
0.234	0.134	0.234	0.124
0.234	0.130	0.234	0.123
0.235	0.129	0.235	0.129
0.235	0.132	0.235	0.121
0.236	0.126	0.236	0.123
0.236	0.134	0.236	0.124
0.237	0.127	0.237	0.120
0.237	0.127	0.237	0.123
0.238	0.135	0.238	0.123
0.238	0.124	0.238	0.118
0.239	0.132	0.239	0.117
0.239	0.127	0.239	0.123
0.240	0.124	0.240	0.126
0.240	0.120	0.240	0.121
0.241	0.123	0.241	0.124
0.241	0.135	0.241	0.118
0.242	0.124	0.242	0.120
0.242	0.132	0.242	0.114
0.243	0.129	0.243	0.123
0.243	0.127	0.243	0.127
0.244	0.129	0.244	0.114
0.244	0.129	0.244	0.126
0.245	0.130	0.245	0.126
0.245	0.121	0.245	0.126
0.246	0.127	0.246	0.117
0.246	0.130	0.246	0.123
0.247	0.135	0.247	0.123
0.247	0.130	0.247	0.121
0.248	0.126	0.248	0.118
0.248	0.124	0.248	0.121
0.249	0.123	0.249	0.124
0.250	0.130	0.250	0.123
0.250	0.126	0.250	0.127
0.251	0.127	0.251	0.121
0.251	0.132	0.251	0.127
0.252	0.129	0.252	0.124
0.252	0.127	0.252	0.130
0.253	0.127	0.253	0.120
0.253	0.134	0.253	0.126
0.254	0.129	0.254	0.126
0.254	0.137	0.254	0.127
0.255	0.123	0.255	0.127
0.255	0.126	0.255	0.126
0.256	0.135	0.256	0.123
0.256	0.130	0.256	0.118
0.257	0.130	0.257	0.126
0.257	0.129	0.257	0.134
0.258	0.129	0.258	0.130
0.258	0.138	0.258	0.127
0.259	0.132	0.259	0.123
0.259	0.144	0.259	0.146
0.260	0.134	0.260	0.135
0.260	0.135	0.260	0.134
0.261	0.129	0.261	0.129
0.261	0.134	0.261	0.135
0.262	0.135	0.262	0.127
0.262	0.138	0.262	0.129
0.263	0.138	0.263	0.127
0.263	0.132	0.263	0.140
0.264	0.140	0.264	0.134
0.264	0.141	0.264	0.138
0.265	0.134	0.265	0.135
0.265	0.141	0.265	0.143
0.266	0.138	0.266	0.137
0.266	0.137	0.266	0.146
0.267	0.141	0.267	0.143
0.267	0.146	0.267	0.141
0.268	0.147	0.268	0.141
0.268	0.153	0.268	0.146
0.269	0.149	0.269	0.140
0.269	0.143	0.269	0.147
0.270	0.147	0.270	0.150
0.270	0.163	0.270	0.141
0.271	0.150	0.271	0.144
0.271	0.146	0.271	0.155
0.272	0.150	0.272	0.150
0.272	0.157	0.272	0.150
0.273	0.155	0.273	0.147
0.273	0.150	0.273	0.152
0.274	0.155	0.274	0.153
0.274	0.155	0.274	0.153
0.275	0.155	0.275	0.152
0.275	0.155	0.275	0.166
0.276	0.160	0.276	0.163
0.276	0.169	0.276	0.160
0.277	0.166	0.277	0.161
0.277	0.169	0.277	0.170
0.278	0.167	0.278	0.170
0.278	0.176	0.278	0.167
