E /V	I /uA	E /V	I /uA	E /V	I /uA
0.102	1.666	0.102	1.638	0.102	1.601
0.103	1.663	0.103	1.635	0.103	1.609
0.104	1.653	0.104	1.620	0.104	1.600
0.105	1.640	0.105	1.627	0.105	1.586
0.106	1.630	0.106	1.600	0.106	1.568
0.107	1.640	0.107	1.607	0.107	1.580
0.108	1.621	0.108	1.597	0.108	1.561
0.109	1.614	0.109	1.587	0.109	1.551
0.110	1.595	0.110	1.572	0.110	1.541
0.111	1.606	0.111	1.569	0.111	1.537
0.112	1.591	0.112	1.555	0.112	1.528
0.113	1.578	0.113	1.555	0.113	1.526
0.114	1.569	0.114	1.540	0.114	1.511
0.115	1.591	0.115	1.551	0.115	1.520
0.116	1.564	0.116	1.528	0.116	1.491
0.117	1.555	0.117	1.526	0.117	1.494
0.118	1.540	0.118	1.511	0.118	1.482
0.119	1.548	0.119	1.512	0.119	1.477
0.120	1.535	0.120	1.497	0.120	1.463
0.121	1.523	0.121	1.494	0.121	1.463
0.122	1.517	0.122	1.488	0.122	1.451
0.123	1.517	0.123	1.491	0.123	1.454
0.124	1.512	0.124	1.471	0.124	1.439
0.125	1.512	0.125	1.466	0.125	1.440
0.126	1.483	0.126	1.456	0.126	1.428
0.127	1.499	0.127	1.462	0.127	1.417
0.128	1.482	0.128	1.443	0.128	1.405
0.129	1.482	0.129	1.440	0.129	1.399
0.130	1.477	0.130	1.426	0.130	1.388
0.131	1.489	0.131	1.446	0.131	1.414
0.132	1.460	0.132	1.423	0.132	1.387
0.133	1.466	0.133	1.420	0.133	1.383
0.134	1.446	0.134	1.405	0.134	1.367
0.135	1.446	0.135	1.405	0.135	1.374
0.136	1.434	0.136	1.393	0.136	1.350
0.137	1.440	0.137	1.394	0.137	1.351
0.138	1.428	0.138	1.383	0.138	1.342
0.139	1.429	0.139	1.388	0.139	1.347
0.140	1.410	0.140	1.374	0.140	1.333
0.141	1.420	0.141	1.364	0.141	1.334
0.142	1.408	0.142	1.365	0.142	1.319
0.143	1.403	0.143	1.365	0.143	1.316
0.144	1.400	0.144	1.359	0.144	1.314
0.145	1.396	0.145	1.351	0.145	1.307
0.146	1.382	0.146	1.345	0.146	1.295
0.147	1.396	0.147	1.357	0.147	1.304
0.148	1.388	0.148	1.339	0.148	1.290
0.149	1.377	0.149	1.330	0.149	1.287
0.150	1.368	0.150	1.324	0.150	1.279
0.151	1.376	0.151	1.327	0.151	1.285
0.152	1.367	0.152	1.321	0.152	1.272
0.153	1.367	0.153	1.322	0.153	1.268
0.154	1.362	0.154	1.308	0.154	1.265
0.155	1.368	0.155	1.324	0.155	1.275
0.156	1.362	0.156	1.305	0.156	1.265
0.157	1.360	0.157	1.305	0.157	1.265
0.158	1.356	0.158	1.302	0.158	1.256
0.159	1.365	0.159	1.311	0.159	1.261
0.160	1.360	0.160	1.307	0.160	1.265
0.161	1.365	0.161	1.305	0.161	1.267
0.162	1.357	0.162	1.307	0.162	1.267
0.163	1.379	0.163	1.333	0.163	1.287
0.164	1.374	0.164	1.316	0.164	1.268
0.165	1.374	0.165	1.324	0.165	1.262
0.166	1.376	0.166	1.319	0.166	1.282
0.167	1.388	0.167	1.328	0.167	1.291
0.168	1.383	0.168	1.339	0.168	1.284
0.169	1.403	0.169	1.345	0.169	1.291
0.170	1.405	0.170	1.354	0.170	1.308
0.171	1.426	0.171	1.376	0.171	1.316
0.172	1.423	0.172	1.365	0.172	1.316
0.173	1.443	0.173	1.387	0.173	1.330
0.174	1.448	0.174	1.400	0.174	1.336
0.175	1.476	0.175	1.405	0.175	1.360
0.176	1.463	0.176	1.419	0.176	1.370
0.177	1.480	0.177	1.433	0.177	1.382
0.178	1.489	0.178	1.443	0.178	1.387
0.179	1.517	0.179	1.476	0.179	1.425
0.180	1.532	0.180	1.479	0.180	1.429
0.181	1.540	0.181	1.494	0.181	1.449
0.182	1.548	0.182	1.503	0.182	1.462
0.183	1.577	0.183	1.543	0.183	1.486
0.184	1.587	0.184	1.546	0.184	1.488
0.185	1.604	0.185	1.560	0.185	1.522
0.186	1.614	0.186	1.584	0.186	1.525
0.187	1.652	0.187	1.610	0.187	1.549
0.188	1.649	0.188	1.614	0.188	1.563
0.189	1.670	0.189	1.630	0.189	1.581
0.190	1.669	0.190	1.638	0.190	1.586
0.191	1.692	0.191	1.663	0.191	1.603
0.192	1.699	0.192	1.664	0.192	1.617
0.193	1.712	0.193	1.675	0.193	1.629
0.194	1.716	0.194	1.678	0.194	1.627
0.195	1.753	0.195	1.707	0.195	1.655
0.196	1.739	0.196	1.706	0.196	1.655
0.197	1.744	0.197	1.701	0.197	1.653
