E /V	I /uA	E /V	I /uA
0.468	0.655		
0.469	0.632		
0.470	0.643		
0.471	0.640		
0.472	0.664		
0.473	0.669		
0.474	0.666		
0.475	0.641		
0.476	0.624		
0.477	0.626		
0.478	0.601		
0.479	0.624		
0.480	0.623		
0.481	0.603		
0.482	0.592		
0.483	0.569		
0.484	0.560		
0.485	0.532		
0.486	0.587		
0.487	0.614		
0.488	0.583		
0.489	0.566		
0.490	0.564		
0.491	0.558		
0.492	0.551		
0.493	0.538		
0.494	0.568		
0.495	0.538		
0.496	0.541		
0.497	0.503		
0.498	0.523		
0.499	0.509		
0.500	0.520		
0.501	0.503		
0.502	0.508		
0.503	0.508		
0.504	0.489		
0.505	0.508		
0.506	0.479		
0.507	0.486		
0.508	0.459		
0.509	0.472		
0.510	0.506		
0.511	0.442		
0.512	0.483		
0.513	0.457		
0.514	0.509		
0.515	0.468		
0.516	0.483		
0.517	0.488		
0.518	0.437		
0.519	0.462		
0.520	0.471		
0.521	0.457		
0.522	0.433		
0.523	0.430		
0.524	0.437		
0.525	0.437		
0.526	0.416		
0.527	0.414		
0.528	0.423		
0.529	0.408		
0.530	0.433		
0.531	0.411		
0.532	0.449		
0.533	0.420		
0.534	0.416		
0.535	0.440		
0.536	0.393		
0.537	0.403		
0.538	0.351		
0.539	0.403		
0.540	0.370		
0.541	0.397		
0.542	0.393		
0.543	0.414		
0.544	0.405		
0.545	0.417		
0.546	0.416		
0.547	0.397		
0.548	0.391		
0.549	0.376		
0.550	0.359		
0.551	0.364		
0.552	0.364		
0.553	0.391		
0.554	0.361		
0.555	0.371		
0.556	0.377		
0.557	0.371		
0.558	0.370		
0.559	0.371		
0.560	0.351		
0.561	0.334		
0.562	0.353		
0.563	0.345		
0.564	0.339		
0.565	0.376		
0.566	0.365		
0.567	0.342		
0.568	0.342		
0.569	0.334		
0.570	0.338		
0.571	0.361		
0.572	0.365		
0.573	0.331		
0.574	0.361		
0.575	0.354		
0.576	0.344		
0.577	0.336		
0.578	0.359		
0.579	0.342		
0.580	0.348		
0.581	0.336		
0.582	0.333		
0.583	0.325		
0.584	0.305		
0.585	0.305		
0.586	0.305		
0.587	0.322		
0.588	0.321		
0.589	0.310		
0.590	0.287		
0.591	0.324		
0.592	0.291		
0.593	0.302		
0.594	0.298		
0.595	0.284		
0.596	0.313		
0.597	0.311		
0.598	0.318		
0.599	0.299		
0.600	0.310		
0.601	0.295		
0.602	0.313		
0.603	0.298		
0.604	0.304		
0.605	0.304		
0.606	0.275		
0.607	0.285		
0.608	0.299		
0.609	0.290		
0.610	0.305		
0.611	0.264		
0.612	0.305		
0.613	0.282		
0.614	0.285		
0.615	0.301		
0.616	0.295		
0.617	0.293		
0.618	0.287		
0.619	0.278		
0.620	0.268		
0.621	0.281		
0.622	0.273		
0.623	0.285		
0.624	0.281		
0.625	0.281		
0.626	0.285		
0.627	0.290		
0.628	0.278		
0.629	0.270		
0.630	0.270		
0.631	0.272		
0.632	0.281		
0.633	0.262		
0.634	0.272		
0.635	0.268		
0.636	0.270		
0.637	0.256		
0.638	0.241		
0.639	0.244		
0.640	0.250		
0.641	0.238		
0.642	0.245		
0.643	0.235		
0.644	0.241		
0.645	0.241		
0.646	0.238		
0.647	0.259		
0.648	0.242		
0.649	0.236		
0.650	0.242		
0.651	0.236		
0.652	0.236		
0.653	0.244		
0.654	0.249		
0.655	0.242		
0.656	0.244		
0.657	0.245		
0.658	0.245		
0.659	0.242		
0.660	0.252		
0.661	0.236		
0.662	0.232		
0.663	0.227		
0.664	0.230		
0.665	0.242		
0.666	0.222		
0.667	0.221		
0.668	0.215		
0.669	0.218		
0.670	0.238		
0.671	0.230		
0.672	0.222		
0.673	0.222		
0.674	0.215		
0.675	0.213		
0.676	0.222		
0.677	0.227		
0.678	0.224		
0.679	0.221		
0.680	0.212		
0.681	0.213		
0.682	0.219		
0.683	0.218		
0.684	0.209		
0.685	0.207		
0.686	0.209		
0.687	0.215		
0.688	0.216		
0.689	0.203		
0.690	0.204		
0.691	0.204		
0.692	0.210		
0.693	0.209		
0.694	0.207		
0.695	0.210		
0.696	0.219		
0.697	0.201		
0.698	0.204		
0.699	0.201		
0.700	0.132		
0.699	0.068		
0.698	0.014		
0.697	-0.012		
0.696	-0.038		
0.695	-0.066		
0.694	-0.074		
0.693	-0.072		
0.692	-0.080		
0.691	-0.100		
0.690	-0.101		
0.689	-0.103		
0.688	-0.113		
0.687	-0.109		
0.686	-0.110		
0.685	-0.104		
0.684	-0.115		
0.683	-0.127		
0.682	-0.126		
0.681	-0.132		
0.680	-0.129		
0.679	-0.112		
0.678	-0.141		
0.677	-0.139		
0.676	-0.129		
0.675	-0.139		
0.674	-0.143		
0.673	-0.146		
0.672	-0.143		
0.671	-0.143		
0.670	-0.135		
0.669	-0.146		
0.668	-0.150		
0.667	-0.153		
0.666	-0.147		
0.665	-0.162		
0.664	-0.159		
0.663	-0.147		
0.662	-0.158		
0.661	-0.167		
0.660	-0.149		
0.659	-0.172		
0.658	-0.166		
0.657	-0.175		
0.656	-0.169		
0.655	-0.166		
0.654	-0.181		
0.653	-0.181		
0.652	-0.179		
0.651	-0.169		
0.650	-0.175		
0.649	-0.173		
0.648	-0.181		
0.647	-0.181		
0.646	-0.178		
0.645	-0.189		
0.644	-0.190		
0.643	-0.195		
0.642	-0.199		
0.641	-0.190		
0.640	-0.184		
0.639	-0.210		
0.638	-0.201		
0.637	-0.195		
0.636	-0.204		
0.635	-0.201		
0.634	-0.198		
0.633	-0.199		
0.632	-0.213		
0.631	-0.213		
0.630	-0.221		
0.629	-0.215		
0.628	-0.222		
0.627	-0.212		
0.626	-0.221		
0.625	-0.212		
0.624	-0.213		
0.623	-0.207		
0.622	-0.222		
0.621	-0.216		
0.620	-0.222		
0.619	-0.227		
0.618	-0.222		
0.617	-0.230		
0.616	-0.216		
0.615	-0.227		
0.614	-0.245		
0.613	-0.228		
0.612	-0.239		
0.611	-0.244		
0.610	-0.244		
0.609	-0.235		
0.608	-0.238		
0.607	-0.248		
0.606	-0.253		
0.605	-0.271		
0.604	-0.256		
0.603	-0.251		
0.602	-0.254		
0.601	-0.248		
0.600	-0.264		
0.599	-0.258		
0.598	-0.253		
0.597	-0.268		
0.596	-0.281		
0.595	-0.267		
0.594	-0.282		
0.593	-0.304		
0.592	-0.282		
0.591	-0.268		
0.590	-0.256		
0.589	-0.267		
0.588	-0.288		
0.587	-0.299		
0.586	-0.282		
0.585	-0.285		
0.584	-0.302		
0.583	-0.314		
0.582	-0.282		
0.581	-0.294		
0.580	-0.296		
0.579	-0.302		
0.578	-0.302		
0.577	-0.325		
0.576	-0.308		
0.575	-0.334		
0.574	-0.328		
0.573	-0.324		
0.572	-0.327		
0.571	-0.331		
0.570	-0.316		
0.569	-0.337		
0.568	-0.319		
0.567	-0.322		
0.566	-0.342		
0.565	-0.337		
0.564	-0.343		
0.563	-0.356		
0.562	-0.356		
0.561	-0.330		
0.560	-0.322		
0.559	-0.333		
0.558	-0.334		
0.557	-0.345		
0.556	-0.339		
0.555	-0.357		
0.554	-0.363		
0.553	-0.362		
0.552	-0.374		
0.551	-0.356		
0.550	-0.348		
0.549	-0.353		
0.548	-0.360		
0.547	-0.339		
0.546	-0.350		
0.545	-0.328		
0.544	-0.368		
0.543	-0.388		
0.542	-0.373		
0.541	-0.391		
0.540	-0.366		
0.539	-0.411		
0.538	-0.386		
0.537	-0.420		
0.536	-0.399		
0.535	-0.396		
0.534	-0.403		
0.533	-0.405		
0.532	-0.396		
0.531	-0.412		
0.530	-0.408		
0.529	-0.400		
0.528	-0.423		
0.527	-0.428		
0.526	-0.431		
0.525	-0.435		
0.524	-0.446		
0.523	-0.426		
0.522	-0.414		
0.521	-0.423		
0.520	-0.440		
0.519	-0.455		
0.518	-0.437		
0.517	-0.498		
0.516	-0.451		
0.515	-0.434		
0.514	-0.435		
0.513	-0.455		
0.512	-0.471		
0.511	-0.454		
0.510	-0.471		
0.509	-0.488		
0.508	-0.503		
0.507	-0.489		
0.506	-0.501		
0.505	-0.501		
0.504	-0.492		
0.503	-0.465		
0.502	-0.492		
0.501	-0.491		
0.500	-0.504		
0.499	-0.523		
0.498	-0.531		
0.497	-0.523		
0.496	-0.526		
0.495	-0.532		
0.494	-0.520		
0.493	-0.524		
0.492	-0.550		
0.491	-0.523		
0.490	-0.546		
0.489	-0.546		
0.488	-0.543		
0.487	-0.567		
0.486	-0.563		
0.485	-0.560		
0.484	-0.550		
0.483	-0.567		
0.482	-0.581		
0.481	-0.572		
0.480	-0.584		
0.479	-0.603		
0.478	-0.593		
0.477	-0.601		
0.476	-0.584		
0.475	-0.600		
0.474	-0.629		
0.473	-0.641		
0.472	-0.636		
0.471	-0.653		
0.470	-0.638		
0.469	-0.675		
0.468	-0.652		
0.467	-0.687		
0.466	-0.666		
0.465	-0.653		
0.464	-0.647		
0.463	-0.675		
0.462	-0.644		
0.461	-0.676		
0.460	-0.693		
0.459	-0.681		
0.458	-0.690		
0.457	-0.722		
0.456	-0.698		
0.455	-0.695		
0.454	-0.705		
0.453	-0.748		
0.452	-0.748		
0.451	-0.751		
0.450	-0.773		
0.449	-0.745		
0.448	-0.741		
0.447	-0.761		
0.446	-0.750		
0.445	-0.767		
0.444	-0.770		
0.443	-0.739		
0.442	-0.748		
0.441	-0.764		
0.440	-0.710		
0.439	-0.779		
0.438	-0.770		
0.437	-0.745		
0.436	-0.761		
0.435	-0.790		
0.434	-0.804		
0.433	-0.787		
0.432	-0.779		
0.431	-0.781		
0.430	-0.767		
0.429	-0.779		
0.428	-0.797		
0.427	-0.794		
0.426	-0.771		
0.425	-0.767		
0.424	-0.739		
0.423	-0.736		
0.422	-0.785		
0.421	-0.753		
0.420	-0.751		
0.419	-0.762		
0.418	-0.761		
0.417	-0.779		
0.416	-0.764		
0.415	-0.748		
0.414	-0.762		
0.413	-0.764		
0.412	-0.759		
0.411	-0.762		
0.410	-0.742		
0.409	-0.727		
0.408	-0.728		
0.407	-0.754		
0.406	-0.728		
0.405	-0.704		
0.404	-0.730		
0.403	-0.701		
0.402	-0.682		
0.401	-0.701		
0.400	-0.725		
0.399	-0.733		
0.398	-0.692		
0.397	-0.701		
0.396	-0.722		
0.395	-0.667		
0.394	-0.667		
0.393	-0.666		
0.392	-0.708		
0.391	-0.662		
0.390	-0.643		
0.389	-0.682		
0.388	-0.633		
0.387	-0.627		
0.386	-0.601		
0.385	-0.609		
0.384	-0.615		
0.383	-0.597		
0.382	-0.600		
0.381	-0.609		
0.380	-0.595		
0.379	-0.593		
0.378	-0.613		
0.377	-0.589		
0.376	-0.566		
0.375	-0.557		
0.374	-0.561		
0.373	-0.578		
0.372	-0.554		
0.371	-0.552		
0.370	-0.504		
0.369	-0.535		
0.368	-0.511		
0.367	-0.506		
0.366	-0.518		
0.365	-0.500		
0.364	-0.498		
0.363	-0.485		
0.362	-0.491		
0.361	-0.480		
0.360	-0.475		
0.359	-0.475		
0.358	-0.481		
0.357	-0.457		
0.356	-0.425		
0.355	-0.429		
0.354	-0.425		
0.353	-0.434		
0.352	-0.437		
0.351	-0.425		
0.350	-0.394		
0.349	-0.396		
0.348	-0.412		
0.347	-0.409		
0.346	-0.396		
0.345	-0.411		
0.344	-0.408		
0.343	-0.379		
0.342	-0.405		
0.341	-0.386		
0.340	-0.370		
0.339	-0.386		
0.338	-0.353		
0.337	-0.377		
0.336	-0.380		
0.335	-0.348		
0.334	-0.351		
0.333	-0.362		
0.332	-0.339		
0.331	-0.354		
0.330	-0.357		
0.329	-0.357		
0.328	-0.336		
0.327	-0.313		
0.326	-0.308		
0.325	-0.328		
0.324	-0.307		
0.323	-0.291		
0.322	-0.325		
0.321	-0.327		
0.320	-0.291		
0.319	-0.287		
0.318	-0.285		
0.317	-0.320		
0.316	-0.330		
0.315	-0.310		
0.314	-0.281		
0.313	-0.281		
0.312	-0.307		
0.311	-0.271		
0.310	-0.279		
0.309	-0.288		
0.308	-0.281		
0.307	-0.265		
0.306	-0.291		
0.305	-0.285		
0.304	-0.276		
0.303	-0.284		
0.302	-0.291		
0.301	-0.274		
0.300	-0.259		
0.299	-0.279		
0.298	-0.258		
0.297	-0.264		
0.296	-0.288		
0.295	-0.274		
0.294	-0.251		
0.293	-0.270		
0.292	-0.264		
0.291	-0.278		
0.290	-0.239		
0.289	-0.261		
0.288	-0.262		
0.287	-0.270		
0.286	-0.273		
0.285	-0.270		
0.284	-0.258		
0.283	-0.259		
0.282	-0.278		
0.281	-0.259		
0.280	-0.247		
0.279	-0.256		
0.278	-0.267		
0.277	-0.276		
0.276	-0.261		
0.275	-0.247		
0.274	-0.261		
0.273	-0.265		
0.272	-0.256		
0.271	-0.282		
0.270	-0.282		
0.269	-0.296		
0.268	-0.267		
0.267	-0.284		
0.266	-0.271		
0.265	-0.299		
0.264	-0.291		
0.263	-0.276		
0.262	-0.282		
0.261	-0.270		
0.260	-0.274		
0.259	-0.261		
