E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.176	0.233	0.176	0.216	0.176	0.209	0.176	0.209	0.176	0.204
0.177	0.229	0.177	0.213	0.177	0.209	0.177	0.201	0.177	0.204
0.178	0.222	0.178	0.212	0.178	0.201	0.178	0.204	0.178	0.201
0.179	0.219	0.179	0.212	0.179	0.209	0.179	0.201	0.179	0.207
0.180	0.221	0.180	0.206	0.180	0.201	0.180	0.201	0.180	0.198
0.181	0.224	0.181	0.206	0.181	0.196	0.181	0.193	0.181	0.198
0.182	0.213	0.182	0.203	0.182	0.195	0.182	0.189	0.182	0.198
0.183	0.215	0.183	0.198	0.183	0.195	0.183	0.195	0.183	0.190
0.184	0.216	0.184	0.196	0.184	0.192	0.184	0.189	0.184	0.184
0.185	0.209	0.185	0.192	0.185	0.187	0.185	0.181	0.185	0.190
0.186	0.207	0.186	0.195	0.186	0.186	0.186	0.186	0.186	0.186
0.187	0.210	0.187	0.190	0.187	0.181	0.187	0.187	0.187	0.176
0.188	0.204	0.188	0.186	0.188	0.187	0.188	0.184	0.188	0.183
0.189	0.203	0.189	0.189	0.189	0.183	0.189	0.183	0.189	0.176
0.190	0.204	0.190	0.186	0.190	0.172	0.190	0.175	0.190	0.178
0.191	0.201	0.191	0.184	0.191	0.175	0.191	0.175	0.191	0.173
0.192	0.199	0.192	0.183	0.192	0.180	0.192	0.173	0.192	0.180
0.193	0.196	0.193	0.180	0.193	0.178	0.193	0.172	0.193	0.172
0.194	0.196	0.194	0.178	0.194	0.181	0.194	0.170	0.194	0.167
0.195	0.195	0.195	0.184	0.195	0.173	0.195	0.173	0.195	0.170
0.196	0.192	0.196	0.176	0.196	0.169	0.196	0.172	0.196	0.170
0.197	0.190	0.197	0.176	0.197	0.164	0.197	0.166	0.197	0.170
0.198	0.192	0.198	0.172	0.198	0.167	0.198	0.164	0.198	0.170
0.199	0.187	0.199	0.172	0.199	0.172	0.199	0.167	0.199	0.163
0.200	0.186	0.200	0.172	0.200	0.161	0.200	0.163	0.200	0.161
0.201	0.180	0.201	0.170	0.201	0.163	0.201	0.158	0.201	0.161
0.202	0.186	0.202	0.169	0.202	0.155	0.202	0.164	0.202	0.164
0.203	0.192	0.203	0.166	0.203	0.158	0.203	0.163	0.203	0.160
0.204	0.183	0.204	0.166	0.204	0.164	0.204	0.160	0.204	0.153
0.205	0.184	0.205	0.161	0.205	0.155	0.205	0.157	0.205	0.155
0.206	0.183	0.206	0.161	0.206	0.158	0.206	0.155	0.206	0.150
0.207	0.176	0.207	0.164	0.207	0.163	0.207	0.153	0.207	0.157
