E /V	I /uA	E /V	I /uA	E /V	I /uA
0.308	0.523	0.308	0.469	0.308	0.436
0.309	0.531	0.309	0.472	0.309	0.439
0.310	0.534	0.310	0.474	0.310	0.443
0.311	0.537	0.311	0.480	0.311	0.451
0.312	0.545	0.312	0.482	0.312	0.456
0.313	0.551	0.313	0.489	0.313	0.459
0.314	0.566	0.314	0.494	0.314	0.460
0.315	0.563	0.315	0.505	0.315	0.465
0.316	0.575	0.316	0.512	0.316	0.472
0.317	0.581	0.317	0.512	0.317	0.474
0.318	0.584	0.318	0.514	0.318	0.480
0.319	0.587	0.319	0.517	0.319	0.485
0.320	0.592	0.320	0.531	0.320	0.486
0.321	0.601	0.321	0.528	0.321	0.492
0.322	0.597	0.322	0.529	0.322	0.488
0.323	0.609	0.323	0.537	0.323	0.500
0.324	0.600	0.324	0.535	0.324	0.488
0.325	0.600	0.325	0.541	0.325	0.489
0.326	0.597	0.326	0.529	0.326	0.489
0.327	0.595	0.327	0.532	0.327	0.494
0.328	0.594	0.328	0.520	0.328	0.485
0.329	0.587	0.329	0.523	0.329	0.483
0.330	0.578	0.330	0.506	0.330	0.476
0.331	0.574	0.331	0.503	0.331	0.472
0.332	0.560	0.332	0.497	0.332	0.459
0.333	0.554	0.333	0.489	0.333	0.448
0.334	0.529	0.334	0.477	0.334	0.449
0.335	0.526	0.335	0.469	0.335	0.426
0.336	0.505	0.336	0.453	0.336	0.416
0.337	0.494	0.337	0.442	0.337	0.414
0.338	0.482	0.338	0.426	0.338	0.400
0.339	0.466	0.339	0.417	0.339	0.400
0.340	0.454	0.340	0.408	0.340	0.379
0.341	0.436	0.341	0.391	0.341	0.362
0.342	0.422	0.342	0.382	0.342	0.356
0.343	0.410	0.343	0.373	0.343	0.347
0.344	0.399	0.344	0.361	0.344	0.339
0.345	0.387	0.345	0.347	0.345	0.319
0.346	0.376	0.346	0.336	0.346	0.311
0.347	0.373	0.347	0.327	0.347	0.308
0.348	0.351	0.348	0.318	0.348	0.295
0.349	0.345	0.349	0.307	0.349	0.290
0.350	0.334	0.350	0.295	0.350	0.276
0.351	0.331	0.351	0.291	0.351	0.276
0.352	0.324	0.352	0.282	0.352	0.265
0.353	0.310	0.353	0.281	0.353	0.267
0.354	0.307	0.354	0.268	0.354	0.259
0.355	0.302	0.355	0.267	0.355	0.256
0.356	0.296	0.356	0.265	0.356	0.239
0.357	0.287	0.357	0.258	0.357	0.236
0.358	0.290	0.358	0.253	0.358	0.236
0.359	0.278	0.359	0.253	0.359	0.238
0.360	0.273	0.360	0.245	0.360	0.227
0.361	0.270	0.361	0.238	0.361	0.227
0.362	0.270	0.362	0.239	0.362	0.221
0.363	0.270	0.363	0.241	0.363	0.221
0.364	0.261	0.364	0.229	0.364	0.219
0.365	0.261	0.365	0.226	0.365	0.210
0.366	0.255	0.366	0.222	0.366	0.213
0.367	0.249	0.367	0.221	0.367	0.209
0.368	0.252	0.368	0.216	0.368	0.207
0.369	0.245	0.369	0.216	0.369	0.201
0.370	0.249	0.370	0.213	0.370	0.196
0.371	0.241	0.371	0.212	0.371	0.198
0.372	0.239	0.372	0.210	0.372	0.196
0.373	0.236	0.373	0.213	0.373	0.193
0.374	0.235	0.374	0.206	0.374	0.195
0.375	0.233	0.375	0.204	0.375	0.192
0.376	0.233	0.376	0.213	0.376	0.192
0.377	0.232	0.377	0.207	0.377	0.192
0.378	0.227	0.378	0.204	0.378	0.192
0.379	0.233	0.379	0.198	0.379	0.187
0.380	0.233	0.380	0.204	0.380	0.186
0.381	0.224	0.381	0.196	0.381	0.187
0.382	0.224	0.382	0.195	0.382	0.187
0.383	0.219	0.383	0.199	0.383	0.187
0.384	0.219	0.384	0.196	0.384	0.181
0.385	0.221	0.385	0.199	0.385	0.187
0.386	0.218	0.386	0.193	0.386	0.181
0.387	0.227	0.387	0.195	0.387	0.187
0.388	0.227	0.388	0.199	0.388	0.181
0.389	0.216	0.389	0.193	0.389	0.178
0.390	0.216	0.390	0.195	0.390	0.176
0.391	0.210	0.391	0.193	0.391	0.181
0.392	0.216	0.392	0.190	0.392	0.183
0.393	0.212	0.393	0.201	0.393	0.183
0.394	0.226	0.394	0.192	0.394	0.176
0.395	0.215	0.395	0.196	0.395	0.176
0.396	0.218	0.396	0.192	0.396	0.180
0.397	0.215	0.397	0.189	0.397	0.181
0.398	0.212	0.398	0.190	0.398	0.181
0.399	0.215	0.399	0.193	0.399	0.183
0.400	0.215	0.400	0.187	0.400	0.183
0.401	0.212	0.401	0.195	0.401	0.183
0.402	0.213	0.402	0.192	0.402	0.189
0.403	0.218	0.403	0.196	0.403	0.184
0.404	0.215	0.404	0.186	0.404	0.178
0.405	0.216	0.405	0.195	0.405	0.183
0.406	0.216	0.406	0.186	0.406	0.184
0.407	0.215	0.407	0.190	0.407	0.189
0.408	0.213	0.408	0.192	0.408	0.181
0.409	0.210	0.409	0.190	0.409	0.181
0.410	0.215	0.410	0.193	0.410	0.181
0.411	0.216	0.411	0.195	0.411	0.184
0.412	0.210	0.412	0.199	0.412	0.183
0.413	0.216	0.413	0.192	0.413	0.187
0.414	0.215	0.414	0.190	0.414	0.178
0.415	0.212	0.415	0.198	0.415	0.178
0.416	0.215	0.416	0.193	0.416	0.184
0.417	0.213	0.417	0.193	0.417	0.184
0.418	0.215	0.418	0.193	0.418	0.176
0.419	0.216	0.419	0.192	0.419	0.183
0.420	0.215	0.420	0.195	0.420	0.178
0.421	0.210	0.421	0.196	0.421	0.183
0.422	0.213	0.422	0.190	0.422	0.186
0.423	0.212	0.423	0.196	0.423	0.183
0.424	0.209	0.424	0.192	0.424	0.181
0.425	0.212	0.425	0.196	0.425	0.181
0.426	0.213	0.426	0.189	0.426	0.183
0.427	0.215	0.427	0.184	0.427	0.181
0.428	0.209	0.428	0.195	0.428	0.180
0.429	0.210	0.429	0.192	0.429	0.181
0.430	0.215	0.430	0.198	0.430	0.183
0.431	0.207	0.431	0.193	0.431	0.187
0.432	0.210	0.432	0.190	0.432	0.184
0.433	0.209	0.433	0.195	0.433	0.183
0.434	0.222	0.434	0.195	0.434	0.184
0.435	0.212	0.435	0.190	0.435	0.183
0.436	0.209	0.436	0.195	0.436	0.183
0.437	0.203	0.437	0.193	0.437	0.186
0.438	0.204	0.438	0.190	0.438	0.183
0.439	0.215	0.439	0.190	0.439	0.183
0.440	0.207	0.440	0.190	0.440	0.186
0.441	0.209	0.441	0.187	0.441	0.183
