E /V	I /uA	E /V	I /uA
0.446	-0.268		
0.445	-0.253		
0.444	-0.253		
0.443	-0.251		
0.442	-0.256		
0.441	-0.242		
0.440	-0.233		
0.439	-0.241		
0.438	-0.236		
0.437	-0.230		
0.436	-0.227		
0.435	-0.224		
0.434	-0.222		
0.433	-0.219		
0.432	-0.215		
0.431	-0.215		
0.430	-0.215		
0.429	-0.210		
0.428	-0.199		
0.427	-0.205		
0.426	-0.207		
0.425	-0.207		
0.424	-0.205		
0.423	-0.201		
0.422	-0.212		
0.421	-0.198		
0.420	-0.192		
0.419	-0.196		
0.418	-0.196		
0.417	-0.201		
0.416	-0.195		
0.415	-0.195		
0.414	-0.190		
0.413	-0.190		
0.412	-0.199		
0.411	-0.193		
0.410	-0.192		
0.409	-0.190		
0.408	-0.189		
0.407	-0.182		
0.406	-0.189		
0.405	-0.190		
0.404	-0.190		
0.403	-0.192		
0.402	-0.192		
0.401	-0.190		
0.400	-0.187		
0.399	-0.187		
0.398	-0.192		
0.397	-0.184		
0.396	-0.189		
0.395	-0.184		
0.394	-0.192		
0.393	-0.187		
0.392	-0.190		
0.391	-0.192		
0.390	-0.184		
0.389	-0.185		
0.388	-0.190		
0.387	-0.189		
0.386	-0.187		
0.385	-0.179		
0.384	-0.187		
0.383	-0.190		
0.382	-0.189		
0.381	-0.187		
0.380	-0.189		
0.379	-0.190		
0.378	-0.192		
0.377	-0.196		
0.376	-0.195		
0.375	-0.193		
0.374	-0.193		
0.373	-0.189		
0.372	-0.195		
0.371	-0.193		
0.370	-0.192		
0.369	-0.193		
0.368	-0.196		
0.367	-0.202		
0.366	-0.198		
0.365	-0.202		
0.364	-0.202		
0.363	-0.202		
0.362	-0.205		
0.361	-0.205		
0.360	-0.199		
0.359	-0.210		
0.358	-0.216		
0.357	-0.212		
0.356	-0.210		
0.355	-0.219		
0.354	-0.221		
0.353	-0.215		
0.352	-0.224		
0.351	-0.225		
0.350	-0.225		
0.349	-0.227		
0.348	-0.236		
0.347	-0.241		
0.346	-0.236		
0.345	-0.244		
0.344	-0.245		
0.343	-0.248		
0.342	-0.253		
0.341	-0.251		
0.340	-0.264		
0.339	-0.261		
0.338	-0.268		
0.337	-0.274		
0.336	-0.279		
0.335	-0.284		
0.334	-0.287		
0.333	-0.297		
0.332	-0.296		
0.331	-0.308		
0.330	-0.311		
0.329	-0.322		
0.328	-0.324		
0.327	-0.324		
0.326	-0.337		
0.325	-0.340		
0.324	-0.353		
0.323	-0.351		
0.322	-0.362		
0.321	-0.374		
0.320	-0.376		
0.319	-0.377		
0.318	-0.386		
0.317	-0.396		
0.316	-0.396		
0.315	-0.400		
0.314	-0.411		
0.313	-0.412		
0.312	-0.414		
0.311	-0.417		
0.310	-0.420		
0.309	-0.426		
0.308	-0.425		
0.307	-0.429		
0.306	-0.428		
0.305	-0.431		
0.304	-0.431		
0.303	-0.429		
0.302	-0.425		
0.301	-0.420		
0.300	-0.416		
0.299	-0.411		
0.298	-0.409		
0.297	-0.408		
0.296	-0.406		
0.295	-0.402		
0.294	-0.394		
0.293	-0.393		
0.292	-0.400		
0.291	-0.399		
0.290	-0.394		
0.289	-0.386		
0.288	-0.388		
0.287	-0.389		
0.286	-0.385		
0.285	-0.383		
0.284	-0.379		
0.283	-0.382		
0.282	-0.385		
0.281	-0.382		
0.280	-0.377		
0.279	-0.383		
0.278	-0.376		
0.277	-0.379		
0.276	-0.377		
0.275	-0.380		
0.274	-0.380		
0.273	-0.380		
0.272	-0.379		
0.271	-0.383		
0.270	-0.376		
0.269	-0.379		
0.268	-0.376		
0.267	-0.373		
0.266	-0.376		
0.265	-0.379		
0.264	-0.373		
0.263	-0.374		
0.262	-0.374		
0.261	-0.371		
0.260	-0.376		
0.259	-0.376		
0.258	-0.371		
0.257	-0.363		
0.256	-0.371		
0.255	-0.371		
0.254	-0.371		
0.253	-0.368		
0.252	-0.370		
0.251	-0.370		
0.250	-0.363		
0.249	-0.370		
0.248	-0.362		
0.247	-0.373		
0.246	-0.370		
0.245	-0.373		
0.244	-0.370		
0.243	-0.382		
0.242	-0.366		
0.241	-0.373		
0.240	-0.374		
0.239	-0.377		
0.238	-0.376		
0.237	-0.380		
0.236	-0.382		
0.235	-0.386		
0.234	-0.386		
0.233	-0.385		
0.232	-0.391		
0.231	-0.403		
0.230	-0.397		
0.229	-0.399		
0.228	-0.399		
0.227	-0.414		
0.226	-0.422		
0.225	-0.420		
0.224	-0.417		
0.223	-0.431		
0.222	-0.432		
0.221	-0.442		
0.220	-0.451		
0.219	-0.458		
0.218	-0.460		
0.217	-0.471		
0.216	-0.474		
