E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.053	-0.837	0.053	-0.794	0.053	-0.796	0.053	-0.621	0.053	-0.687	0.053	-0.715	0.053	-0.627	0.053	-0.707	0.053	-0.612
0.053	-0.793	0.053	-0.722	0.053	-0.776	0.053	-0.612	0.053	-0.687	0.053	-0.715	0.053	-0.636	0.053	-0.618	0.053	-0.526
0.052	-0.825	0.052	-0.750	0.052	-0.767	0.052	-0.747	0.052	-0.724	0.052	-0.715	0.052	-0.638	0.052	-0.623	0.052	-0.570
0.052	-0.738	0.052	-0.774	0.052	-0.747	0.052	-0.655	0.052	-0.728	0.052	-0.678	0.052	-0.702	0.052	-0.581	0.052	-0.595
0.051	-0.776	0.051	-0.840	0.051	-0.710	0.051	-0.676	0.051	-0.712	0.051	-0.712	0.051	-0.719	0.051	-0.581	0.051	-0.633
0.051	-0.817	0.051	-0.848	0.051	-0.851	0.051	-0.730	0.051	-0.699	0.051	-0.613	0.051	-0.655	0.051	-0.621	0.051	-0.646
0.051	-0.827	0.051	-0.719	0.051	-0.817	0.051	-0.741	0.051	-0.724	0.051	-0.669	0.051	-0.679	0.051	-0.639	0.051	-0.593
0.050	-0.782	0.050	-0.685	0.050	-0.836	0.050	-0.813	0.050	-0.770	0.050	-0.721	0.050	-0.589	0.050	-0.659	0.050	-0.580
0.050	-0.765	0.050	-0.785	0.050	-0.727	0.050	-0.672	0.050	-0.727	0.050	-0.716	0.050	-0.673	0.050	-0.604	0.050	-0.613
0.049	-0.733	0.049	-0.834	0.049	-0.770	0.049	-0.776	0.049	-0.731	0.049	-0.681	0.049	-0.578	0.049	-0.590	0.049	-0.597
0.049	-0.702	0.049	-0.776	0.049	-0.725	0.049	-0.718	0.049	-0.782	0.049	-0.705	0.049	-0.589	0.049	-0.613	0.049	-0.658
0.048	-0.810	0.048	-0.762	0.048	-0.759	0.048	-0.712	0.048	-0.735	0.048	-0.639	0.048	-0.707	0.048	-0.609	0.048	-0.623
