E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.476	-0.328	0.476	-0.244	0.476	-0.222	0.476	-0.281	0.476	-0.276	0.476	-0.231	0.476	-0.205	0.476	-0.250		
0.475	-0.287	0.475	-0.167	0.475	-0.304	0.475	-0.267	0.475	-0.262	0.475	-0.216	0.475	-0.198	0.475	-0.262		
0.475	-0.256	0.475	-0.189	0.475	-0.261	0.475	-0.230	0.475	-0.222	0.475	-0.199	0.475	-0.201	0.475	-0.178		
0.474	-0.256	0.474	-0.213	0.474	-0.253	0.474	-0.193	0.474	-0.202	0.474	-0.204	0.474	-0.189	0.474	-0.224		
0.474	-0.244	0.474	-0.267	0.474	-0.274	0.474	-0.262	0.474	-0.274	0.474	-0.222	0.474	-0.192	0.474	-0.262		
0.473	-0.265	0.473	-0.244	0.473	-0.201	0.473	-0.258	0.473	-0.290	0.473	-0.215	0.473	-0.158	0.473	-0.213		
0.473	-0.322	0.473	-0.219	0.473	-0.216	0.473	-0.224	0.473	-0.299	0.473	-0.216	0.473	-0.167	0.473	-0.173		
0.472	-0.268	0.472	-0.167	0.472	-0.259	0.472	-0.241	0.472	-0.215	0.472	-0.242	0.472	-0.195	0.472	-0.198		
0.472	-0.296	0.472	-0.212	0.472	-0.293	0.472	-0.192	0.472	-0.279	0.472	-0.282	0.472	-0.207	0.472	-0.236		
0.471	-0.276	0.471	-0.196	0.471	-0.256	0.471	-0.202	0.471	-0.215	0.471	-0.241	0.471	-0.152	0.471	-0.193		
0.471	-0.296	0.471	-0.314	0.471	-0.201	0.471	-0.282	0.471	-0.216	0.471	-0.225	0.471	-0.184	0.471	-0.204		
0.470	-0.228	0.470	-0.276	0.470	-0.227	0.470	-0.225	0.470	-0.310	0.470	-0.162	0.470	-0.258	0.470	-0.296		
0.470	-0.265	0.470	-0.233	0.470	-0.251	0.470	-0.208	0.470	-0.233	0.470	-0.208	0.470	-0.175	0.470	-0.250		
0.469	-0.297	0.469	-0.235	0.469	-0.218	0.469	-0.196	0.469	-0.204	0.469	-0.299	0.469	-0.227	0.469	-0.250		
0.469	-0.336	0.469	-0.182	0.469	-0.293	0.469	-0.235	0.469	-0.216	0.469	-0.190	0.469	-0.202	0.469	-0.262		
0.469	-0.310	0.469	-0.225	0.469	-0.301	0.469	-0.230	0.469	-0.187	0.469	-0.202	0.469	-0.199	0.469	-0.202		
0.468	-0.273	0.468	-0.291	0.468	-0.222	0.468	-0.304	0.468	-0.284	0.468	-0.230	0.468	-0.228	0.468	-0.215		
0.468	-0.233	0.468	-0.248	0.468	-0.235	0.468	-0.265	0.468	-0.297	0.468	-0.258	0.468	-0.215	0.468	-0.227		
0.467	-0.233	0.467	-0.301	0.467	-0.254	0.467	-0.241	0.467	-0.248	0.467	-0.256	0.467	-0.245	0.467	-0.239		
0.467	-0.281	0.467	-0.245	0.467	-0.221	0.467	-0.218	0.467	-0.276	0.467	-0.239	0.467	-0.296	0.467	-0.227		
0.466	-0.308	0.466	-0.224	0.466	-0.254	0.466	-0.208	0.466	-0.296	0.466	-0.233	0.466	-0.210	0.466	-0.256		
0.466	-0.311	0.466	-0.304	0.466	-0.327	0.466	-0.233	0.466	-0.222	0.466	-0.282	0.466	-0.219	0.466	-0.224		
0.465	-0.288	0.465	-0.267	0.465	-0.285	0.465	-0.248	0.465	-0.221	0.465	-0.253	0.465	-0.205	0.465	-0.241		
0.465	-0.284	0.465	-0.219	0.465	-0.265	0.465	-0.264	0.465	-0.213	0.465	-0.205	0.465	-0.179	0.465	-0.253		
0.464	-0.204	0.464	-0.212	0.464	-0.179	0.464	-0.204	0.464	-0.196	0.464	-0.219	0.464	-0.193	0.464	-0.235		
0.464	-0.238	0.464	-0.293	0.464	-0.215	0.464	-0.224	0.464	-0.251	0.464	-0.190	0.464	-0.251	0.464	-0.192		
0.463	-0.268	0.463	-0.291	0.463	-0.208	0.463	-0.248	0.463	-0.198	0.463	-0.248	0.463	-0.291	0.463	-0.192		
0.463	-0.382	0.463	-0.264	0.463	-0.345	0.463	-0.311	0.463	-0.313	0.463	-0.301	0.463	-0.297	0.463	-0.241		
0.462	-0.302	0.462	-0.212	0.462	-0.233	0.462	-0.271	0.462	-0.212	0.462	-0.193	0.462	-0.205	0.462	-0.228		
0.462	-0.314	0.462	-0.307	0.462	-0.267	0.462	-0.219	0.462	-0.205	0.462	-0.172	0.462	-0.199	0.462	-0.192		
0.461	-0.304	0.461	-0.311	0.461	-0.288	0.461	-0.215	0.461	-0.205	0.461	-0.205	0.461	-0.185	0.461	-0.259		
0.461	-0.278	0.461	-0.250	0.461	-0.302	0.461	-0.221	0.461	-0.302	0.461	-0.250	0.461	-0.259	0.461	-0.285		
0.460	-0.216	0.460	-0.278	0.460	-0.208	0.460	-0.290	0.460	-0.218	0.460	-0.247	0.460	-0.293	0.460	-0.210		
0.460	-0.218	0.460	-0.238	0.460	-0.281	0.460	-0.267	0.460	-0.210	0.460	-0.259	0.460	-0.320	0.460	-0.212		
0.459	-0.261	0.459	-0.259	0.459	-0.231	0.459	-0.259	0.459	-0.184	0.459	-0.264	0.459	-0.273	0.459	-0.195		
0.459	-0.356	0.459	-0.213	0.459	-0.265	0.459	-0.273	0.459	-0.181	0.459	-0.225	0.459	-0.270	0.459	-0.224		
0.458	-0.386	0.458	-0.291	0.458	-0.204	0.458	-0.218	0.458	-0.241	0.458	-0.291	0.458	-0.213	0.458	-0.333		
0.458	-0.376	0.458	-0.327	0.458	-0.270	0.458	-0.198	0.458	-0.336	0.458	-0.208	0.458	-0.250	0.458	-0.245		
0.457	-0.359	0.457	-0.362	0.457	-0.245	0.457	-0.248	0.457	-0.236	0.457	-0.132	0.457	-0.245	0.457	-0.202		
0.457	-0.351	0.457	-0.301	0.457	-0.262	0.457	-0.285	0.457	-0.210	0.457	-0.236	0.457	-0.274	0.457	-0.227		
0.456	-0.328	0.456	-0.225	0.456	-0.250	0.456	-0.230	0.456	-0.276	0.456	-0.205	0.456	-0.248	0.456	-0.199		
0.456	-0.296	0.456	-0.287	0.456	-0.153	0.456	-0.247	0.456	-0.291	0.456	-0.216	0.456	-0.222	0.456	-0.205		
0.455	-0.235	0.455	-0.365	0.455	-0.285	0.455	-0.293	0.455	-0.218	0.455	-0.278	0.455	-0.239	0.455	-0.193		
0.455	-0.271	0.455	-0.314	0.455	-0.304	0.455	-0.324	0.455	-0.222	0.455	-0.254	0.455	-0.208	0.455	-0.228		
0.454	-0.302	0.454	-0.267	0.454	-0.491	0.454	-0.250	0.454	-0.235	0.454	-0.251	0.454	-0.182	0.454	-0.230		
0.454	-0.294	0.454	-0.271	0.454	-0.228	0.454	-0.259	0.454	-0.276	0.454	-0.210	0.454	-0.212	0.454	-0.305		
0.453	-0.311	0.453	-0.224	0.453	-0.224	0.453	-0.268	0.453	-0.271	0.453	-0.282	0.453	-0.221	0.453	-0.219		
0.453	-0.267	0.453	-0.281	0.453	-0.281	0.453	-0.251	0.453	-0.261	0.453	-0.207	0.453	-0.222	0.453	-0.230		
0.452	-0.308	0.452	-0.299	0.452	-0.297	0.452	-0.175	0.452	-0.219	0.452	-0.248	0.452	-0.210	0.452	-0.239		
0.452	-0.281	0.452	-0.353	0.452	-0.337	0.452	-0.228	0.452	-0.205	0.452	-0.236	0.452	-0.247	0.452	-0.256		
0.451	-0.383	0.451	-0.320	0.451	-0.342	0.451	-0.281	0.451	-0.235	0.451	-0.301	0.451	-0.291	0.451	-0.235		
0.451	-0.285	0.451	-0.225	0.451	-0.322	0.451	-0.314	0.451	-0.282	0.451	-0.227	0.451	-0.313	0.451	-0.239		
0.450	-0.244	0.450	-0.236	0.450	-0.366	0.450	-0.244	0.450	-0.307	0.450	-0.278	0.450	-0.270	0.450	-0.296		
0.450	-0.316	0.450	-0.296	0.450	-0.287	0.450	-0.247	0.450	-0.227	0.450	-0.230	0.450	-0.185	0.450	-0.314		
0.449	-0.339	0.449	-0.296	0.449	-0.267	0.449	-0.391	0.449	-0.251	0.449	-0.288	0.449	-0.287	0.449	-0.270		
0.449	-0.279	0.449	-0.320	0.449	-0.267	0.449	-0.262	0.449	-0.316	0.449	-0.265	0.449	-0.274	0.449	-0.207		
0.448	-0.353	0.448	-0.182	0.448	-0.244	0.448	-0.241	0.448	-0.290	0.448	-0.219	0.448	-0.227	0.448	-0.254		
0.448	-0.282	0.448	-0.225	0.448	-0.304	0.448	-0.297	0.448	-0.262	0.448	-0.228	0.448	-0.285	0.448	-0.247		
0.447	-0.264	0.447	-0.233	0.447	-0.288	0.447	-0.228	0.447	-0.236	0.447	-0.242	0.447	-0.233	0.447	-0.222		
0.447	-0.383	0.447	-0.244	0.447	-0.291	0.447	-0.265	0.447	-0.320	0.447	-0.264	0.447	-0.239	0.447	-0.248		
0.446	-0.347	0.446	-0.331	0.446	-0.343	0.446	-0.279	0.446	-0.250	0.446	-0.202	0.446	-0.239	0.446	-0.265		
0.446	-0.310	0.446	-0.342	0.446	-0.250	0.446	-0.305	0.446	-0.239	0.446	-0.218	0.446	-0.212	0.446	-0.327		
0.445	-0.308	0.445	-0.245	0.445	-0.250	0.445	-0.276	0.445	-0.192	0.445	-0.316	0.445	-0.316	0.445	-0.308		
0.445	-0.294	0.445	-0.233	0.445	-0.287	0.445	-0.305	0.445	-0.245	0.445	-0.238	0.445	-0.285	0.445	-0.299		
0.444	-0.308	0.444	-0.311	0.444	-0.270	0.444	-0.227	0.444	-0.247	0.444	-0.204	0.444	-0.242	0.444	-0.273		
0.444	-0.385	0.444	-0.348	0.444	-0.264	0.444	-0.279	0.444	-0.297	0.444	-0.222	0.444	-0.241	0.444	-0.198		
0.443	-0.359	0.443	-0.324	0.443	-0.265	0.443	-0.265	0.443	-0.311	0.443	-0.271	0.443	-0.288	0.443	-0.230		
0.443	-0.416	0.443	-0.363	0.443	-0.385	0.443	-0.498	0.443	-0.347	0.443	-0.353	0.443	-0.351	0.443	-0.281		
0.442	-0.324	0.442	-0.251	0.442	-0.339	0.442	-0.244	0.442	-0.219	0.442	-0.258	0.442	-0.274	0.442	-0.204		
0.442	-0.271	0.442	-0.228	0.442	-0.302	0.442	-0.328	0.442	-0.261	0.442	-0.267	0.442	-0.230	0.442	-0.227		
0.441	-0.261	0.441	-0.281	0.441	-0.285	0.441	-0.288	0.441	-0.265	0.441	-0.236	0.441	-0.308	0.441	-0.258		
0.441	-0.251	0.441	-0.351	0.441	-0.247	0.441	-0.284	0.441	-0.313	0.441	-0.235	0.441	-0.236	0.441	-0.251		
0.440	-0.230	0.440	-0.316	0.440	-0.267	0.440	-0.224	0.440	-0.285	0.440	-0.198	0.440	-0.216	0.440	-0.228		
0.440	-0.262	0.440	-0.297	0.440	-0.244	0.440	-0.265	0.440	-0.225	0.440	-0.212	0.440	-0.285	0.440	-0.261		
0.439	-0.319	0.439	-0.293	0.439	-0.305	0.439	-0.271	0.439	-0.222	0.439	-0.262	0.439	-0.304	0.439	-0.319		
0.439	-0.356	0.439	-0.225	0.439	-0.302	0.439	-0.297	0.439	-0.233	0.439	-0.279	0.439	-0.273	0.439	-0.288		
0.438	-0.328	0.438	-0.213	0.438	-0.291	0.438	-0.348	0.438	-0.190	0.438	-0.281	0.438	-0.250	0.438	-0.215		
0.438	-0.324	0.438	-0.262	0.438	-0.304	0.438	-0.294	0.438	-0.227	0.438	-0.233	0.438	-0.244	0.438	-0.201		
0.437	-0.258	0.437	-0.302	0.437	-0.268	0.437	-0.304	0.437	-0.261	0.437	-0.270	0.437	-0.244	0.437	-0.279		
0.436	-0.279	0.436	-0.325	0.436	-0.317	0.436	-0.216	0.436	-0.264	0.436	-0.316	0.436	-0.231	0.436	-0.288		
0.436	-0.320	0.436	-0.302	0.436	-0.231	0.436	-0.261	0.436	-0.290	0.436	-0.294	0.436	-0.281	0.436	-0.244		
0.435	-0.373	0.435	-0.273	0.435	-0.351	0.435	-0.301	0.435	-0.221	0.435	-0.299	0.435	-0.268	0.435	-0.236		
0.435	-0.296	0.435	-0.294	0.435	-0.317	0.435	-0.253	0.435	-0.192	0.435	-0.265	0.435	-0.273	0.435	-0.228		
0.434	-0.325	0.434	-0.233	0.434	-0.212	0.434	-0.276	0.434	-0.221	0.434	-0.231	0.434	-0.184	0.434	-0.241		
0.434	-0.339	0.434	-0.233	0.434	-0.195	0.434	-0.268	0.434	-0.242	0.434	-0.254	0.434	-0.239	0.434	-0.241		
0.433	-0.271	0.433	-0.278	0.433	-0.327	0.433	-0.253	0.433	-0.205	0.433	-0.333	0.433	-0.282	0.433	-0.316		
0.433	-0.239	0.433	-0.251	0.433	-0.227	0.433	-0.239	0.433	-0.258	0.433	-0.307	0.433	-0.311	0.433	-0.173		
0.432	-0.278	0.432	-0.254	0.432	-0.301	0.432	-0.314	0.432	-0.319	0.432	-0.279	0.432	-0.274	0.432	-0.284		
0.432	-0.288	0.432	-0.248	0.432	-0.274	0.432	-0.314	0.432	-0.327	0.432	-0.244	0.432	-0.230	0.432	-0.259		
0.431	-0.273	0.431	-0.290	0.431	-0.210	0.431	-0.279	0.431	-0.308	0.431	-0.305	0.431	-0.235	0.431	-0.207		
0.431	-0.345	0.431	-0.281	0.431	-0.218	0.431	-0.297	0.431	-0.297	0.431	-0.287	0.431	-0.204	0.431	-0.297		
0.430	-0.343	0.430	-0.279	0.430	-0.242	0.430	-0.310	0.430	-0.261	0.430	-0.242	0.430	-0.288	0.430	-0.216		
0.430	-0.327	0.430	-0.337	0.430	-0.305	0.430	-0.258	0.430	-0.256	0.430	-0.208	0.430	-0.235	0.430	-0.253		
0.429	-0.293	0.429	-0.247	0.429	-0.333	0.429	-0.248	0.429	-0.274	0.429	-0.230	0.429	-0.222	0.429	-0.276		
0.429	-0.343	0.429	-0.169	0.429	-0.293	0.429	-0.284	0.429	-0.363	0.429	-0.215	0.429	-0.258	0.429	-0.225		
0.428	-0.327	0.428	-0.245	0.428	-0.299	0.428	-0.282	0.428	-0.262	0.428	-0.208	0.428	-0.290	0.428	-0.227		
0.428	-0.324	0.428	-0.270	0.428	-0.284	0.428	-0.247	0.428	-0.281	0.428	-0.244	0.428	-0.274	0.428	-0.212		
0.427	-0.305	0.427	-0.290	0.427	-0.333	0.427	-0.212	0.427	-0.236	0.427	-0.228	0.427	-0.187	0.427	-0.210		
0.427	-0.359	0.427	-0.271	0.427	-0.279	0.427	-0.216	0.427	-0.265	0.427	-0.244	0.427	-0.265	0.427	-0.241		
0.426	-0.330	0.426	-0.311	0.426	-0.228	0.426	-0.293	0.426	-0.294	0.426	-0.236	0.426	-0.241	0.426	-0.290		
0.426	-0.362	0.426	-0.265	0.426	-0.258	0.426	-0.320	0.426	-0.308	0.426	-0.279	0.426	-0.218	0.426	-0.274		
0.425	-0.353	0.425	-0.373	0.425	-0.261	0.425	-0.256	0.425	-0.317	0.425	-0.293	0.425	-0.307	0.425	-0.247		
0.425	-0.359	0.425	-0.284	0.425	-0.301	0.425	-0.224	0.425	-0.279	0.425	-0.267	0.425	-0.204	0.425	-0.245		
0.424	-0.336	0.424	-0.288	0.424	-0.202	0.424	-0.251	0.424	-0.233	0.424	-0.241	0.424	-0.196	0.424	-0.264		
0.424	-0.273	0.424	-0.215	0.424	-0.333	0.424	-0.327	0.424	-0.218	0.424	-0.259	0.424	-0.258	0.424	-0.239		
0.423	-0.285	0.423	-0.253	0.423	-0.356	0.423	-0.299	0.423	-0.185	0.423	-0.253	0.423	-0.270	0.423	-0.242		
0.423	-0.311	0.423	-0.325	0.423	-0.278	0.423	-0.291	0.423	-0.282	0.423	-0.213	0.423	-0.241	0.423	-0.297		
0.422	-0.313	0.422	-0.339	0.422	-0.290	0.422	-0.328	0.422	-0.343	0.422	-0.297	0.422	-0.268	0.422	-0.296		
0.422	-0.268	0.422	-0.331	0.422	-0.216	0.422	-0.253	0.422	-0.242	0.422	-0.278	0.422	-0.274	0.422	-0.221		
0.421	-0.270	0.421	-0.310	0.421	-0.317	0.421	-0.262	0.421	-0.238	0.421	-0.291	0.421	-0.241	0.421	-0.245		
0.421	-0.290	0.421	-0.274	0.421	-0.293	0.421	-0.241	0.421	-0.239	0.421	-0.239	0.421	-0.254	0.421	-0.274		
0.420	-0.343	0.420	-0.230	0.420	-0.301	0.420	-0.198	0.420	-0.253	0.420	-0.222	0.420	-0.207	0.420	-0.192		
0.420	-0.331	0.420	-0.253	0.420	-0.264	0.420	-0.244	0.420	-0.270	0.420	-0.254	0.420	-0.281	0.420	-0.244		
0.419	-0.370	0.419	-0.345	0.419	-0.268	0.419	-0.265	0.419	-0.253	0.419	-0.281	0.419	-0.291	0.419	-0.225		
0.419	-0.301	0.419	-0.316	0.419	-0.287	0.419	-0.281	0.419	-0.233	0.419	-0.221	0.419	-0.225	0.419	-0.264		
0.418	-0.279	0.418	-0.281	0.418	-0.293	0.418	-0.253	0.418	-0.284	0.418	-0.212	0.418	-0.176	0.418	-0.245		
0.418	-0.317	0.418	-0.308	0.418	-0.294	0.418	-0.305	0.418	-0.320	0.418	-0.231	0.418	-0.265	0.418	-0.224		
0.417	-0.294	0.417	-0.311	0.417	-0.268	0.417	-0.273	0.417	-0.222	0.417	-0.247	0.417	-0.311	0.417	-0.265		
0.417	-0.385	0.417	-0.347	0.417	-0.241	0.417	-0.357	0.417	-0.264	0.417	-0.231	0.417	-0.253	0.417	-0.327		
0.416	-0.316	0.416	-0.317	0.416	-0.210	0.416	-0.245	0.416	-0.282	0.416	-0.212	0.416	-0.221	0.416	-0.265		
0.416	-0.245	0.416	-0.279	0.416	-0.219	0.416	-0.261	0.416	-0.307	0.416	-0.236	0.416	-0.239	0.416	-0.248		
0.415	-0.297	0.415	-0.239	0.415	-0.325	0.415	-0.238	0.415	-0.325	0.415	-0.253	0.415	-0.279	0.415	-0.184		
0.415	-0.330	0.415	-0.247	0.415	-0.345	0.415	-0.253	0.415	-0.268	0.415	-0.235	0.415	-0.253	0.415	-0.212		
0.414	-0.366	0.414	-0.282	0.414	-0.271	0.414	-0.294	0.414	-0.190	0.414	-0.259	0.414	-0.222	0.414	-0.227		
0.414	-0.337	0.414	-0.331	0.414	-0.239	0.414	-0.274	0.414	-0.175	0.414	-0.244	0.414	-0.205	0.414	-0.221		
0.413	-0.359	0.413	-0.308	0.413	-0.227	0.413	-0.325	0.413	-0.238	0.413	-0.222	0.413	-0.189	0.413	-0.195		
0.413	-0.291	0.413	-0.333	0.413	-0.207	0.413	-0.258	0.413	-0.288	0.413	-0.192	0.413	-0.210	0.413	-0.261		
0.412	-0.319	0.412	-0.296	0.412	-0.308	0.412	-0.301	0.412	-0.284	0.412	-0.215	0.412	-0.184	0.412	-0.279		
0.412	-0.225	0.412	-0.270	0.412	-0.317	0.412	-0.227	0.412	-0.254	0.412	-0.284	0.412	-0.230	0.412	-0.253		
0.411	-0.302	0.411	-0.213	0.411	-0.264	0.411	-0.222	0.411	-0.276	0.411	-0.276	0.411	-0.218	0.411	-0.245		
0.411	-0.371	0.411	-0.250	0.411	-0.178	0.411	-0.236	0.411	-0.221	0.411	-0.228	0.411	-0.233	0.411	-0.219		
0.410	-0.328	0.410	-0.267	0.410	-0.221	0.410	-0.262	0.410	-0.276	0.410	-0.270	0.410	-0.167	0.410	-0.178		
0.410	-0.319	0.410	-0.279	0.410	-0.218	0.410	-0.351	0.410	-0.210	0.410	-0.248	0.410	-0.233	0.410	-0.251		
0.409	-0.302	0.409	-0.327	0.409	-0.314	0.409	-0.278	0.409	-0.184	0.409	-0.319	0.409	-0.262	0.409	-0.304		
0.409	-0.288	0.409	-0.256	0.409	-0.250	0.409	-0.216	0.409	-0.250	0.409	-0.288	0.409	-0.273	0.409	-0.328		
0.408	-0.296	0.408	-0.297	0.408	-0.242	0.408	-0.212	0.408	-0.296	0.408	-0.333	0.408	-0.221	0.408	-0.279		
0.408	-0.297	0.408	-0.245	0.408	-0.221	0.408	-0.227	0.408	-0.276	0.408	-0.294	0.408	-0.261	0.408	-0.189		
0.407	-0.261	0.407	-0.256	0.407	-0.339	0.407	-0.225	0.407	-0.236	0.407	-0.239	0.407	-0.265	0.407	-0.216		
0.407	-0.345	0.407	-0.238	0.407	-0.278	0.407	-0.247	0.407	-0.216	0.407	-0.185	0.407	-0.254	0.407	-0.169		
0.406	-0.322	0.406	-0.281	0.406	-0.308	0.406	-0.296	0.406	-0.284	0.406	-0.193	0.406	-0.208	0.406	-0.238		
0.406	-0.365	0.406	-0.327	0.406	-0.268	0.406	-0.254	0.406	-0.258	0.406	-0.225	0.406	-0.205	0.406	-0.236		
0.406	-0.291	0.406	-0.305	0.406	-0.261	0.406	-0.242	0.406	-0.239	0.406	-0.192	0.406	-0.216	0.406	-0.264		
0.405	-0.297	0.405	-0.334	0.405	-0.238	0.405	-0.207	0.405	-0.281	0.405	-0.213	0.405	-0.270	0.405	-0.239		
0.405	-0.331	0.405	-0.319	0.405	-0.310	0.405	-0.212	0.405	-0.216	0.405	-0.218	0.405	-0.254	0.405	-0.287		
0.404	-0.354	0.404	-0.207	0.404	-0.284	0.404	-0.268	0.404	-0.279	0.404	-0.216	0.404	-0.227	0.404	-0.256		
0.404	-0.282	0.404	-0.212	0.404	-0.221	0.404	-0.264	0.404	-0.236	0.404	-0.235	0.404	-0.210	0.404	-0.215		
0.403	-0.281	0.403	-0.313	0.403	-0.322	0.403	-0.264	0.403	-0.189	0.403	-0.207	0.403	-0.205	0.403	-0.238		
0.403	-0.377	0.403	-0.374	0.403	-0.316	0.403	-0.297	0.403	-0.250	0.403	-0.325	0.403	-0.262	0.403	-0.299		
0.402	-0.316	0.402	-0.274	0.402	-0.233	0.402	-0.231	0.402	-0.189	0.402	-0.268	0.402	-0.159	0.402	-0.290		
0.402	-0.320	0.402	-0.294	0.402	-0.261	0.402	-0.253	0.402	-0.247	0.402	-0.224	0.402	-0.224	0.402	-0.296		
0.401	-0.242	0.401	-0.247	0.401	-0.313	0.401	-0.204	0.401	-0.268	0.401	-0.270	0.401	-0.290	0.401	-0.227		
0.401	-0.267	0.401	-0.251	0.401	-0.288	0.401	-0.251	0.401	-0.219	0.401	-0.248	0.401	-0.224	0.401	-0.176		
0.400	-0.221	0.400	-0.310	0.400	-0.282	0.400	-0.250	0.400	-0.235	0.400	-0.258	0.400	-0.228	0.400	-0.202		
0.400	-0.336	0.400	-0.207	0.400	-0.218	0.400	-0.245	0.400	-0.245	0.400	-0.187	0.400	-0.258	0.400	-0.245		
0.399	-0.360	0.399	-0.291	0.399	-0.293	0.399	-0.268	0.399	-0.195	0.399	-0.244	0.399	-0.248	0.399	-0.265		
0.399	-0.314	0.399	-0.293	0.399	-0.216	0.399	-0.093	0.399	-0.247	0.399	-0.185	0.399	-0.213	0.399	-0.207		
0.398	-0.348	0.398	-0.250	0.398	-0.225	0.398	-0.251	0.398	-0.279	0.398	-0.207	0.398	-0.274	0.398	-0.210		
0.398	-0.327	0.398	-0.233	0.398	-0.299	0.398	-0.284	0.398	-0.314	0.398	-0.281	0.398	-0.227	0.398	-0.254		
0.397	-0.285	0.397	-0.230	0.397	-0.302	0.397	-0.271	0.397	-0.281	0.397	-0.316	0.397	-0.225	0.397	-0.281		
0.397	-0.267	0.397	-0.305	0.397	-0.239	0.397	-0.225	0.397	-0.281	0.397	-0.238	0.397	-0.254	0.397	-0.296		
0.396	-0.293	0.396	-0.308	0.396	-0.273	0.396	-0.294	0.396	-0.219	0.396	-0.231	0.396	-0.221	0.396	-0.294		
0.396	-0.325	0.396	-0.316	0.396	-0.285	0.396	-0.285	0.396	-0.233	0.396	-0.182	0.396	-0.184	0.396	-0.225		
0.395	-0.293	0.395	-0.270	0.395	-0.279	0.395	-0.236	0.395	-0.247	0.395	-0.167	0.395	-0.201	0.395	-0.231		
0.395	-0.216	0.395	-0.262	0.395	-0.267	0.395	-0.169	0.395	-0.204	0.395	-0.213	0.395	-0.224	0.395	-0.155		
0.394	-0.268	0.394	-0.256	0.394	-0.259	0.394	-0.120	0.394	-0.270	0.394	-0.284	0.394	-0.250	0.394	-0.210		
0.394	-0.324	0.394	-0.304	0.394	-0.288	0.394	-0.222	0.394	-0.288	0.394	-0.233	0.394	-0.251	0.394	-0.231		
0.393	-0.347	0.393	-0.274	0.393	-0.261	0.393	-0.212	0.393	-0.233	0.393	-0.192	0.393	-0.238	0.393	-0.242		
0.393	-0.302	0.393	-0.351	0.393	-0.261	0.393	-0.259	0.393	-0.210	0.393	-0.230	0.393	-0.233	0.393	-0.273		
0.392	-0.320	0.392	-0.285	0.392	-0.173	0.392	-0.251	0.392	-0.251	0.392	-0.242	0.392	-0.179	0.392	-0.208		
0.392	-0.319	0.392	-0.259	0.392	-0.179	0.392	-0.320	0.392	-0.284	0.392	-0.219	0.392	-0.192	0.392	-0.210		
0.391	-0.281	0.391	-0.224	0.391	-0.293	0.391	-0.274	0.391	-0.225	0.391	-0.185	0.391	-0.216	0.391	-0.254		
0.391	-0.221	0.391	-0.182	0.391	-0.250	0.391	-0.244	0.391	-0.225	0.391	-0.230	0.391	-0.294	0.391	-0.281		
0.390	-0.233	0.390	-0.225	0.390	-0.241	0.390	-0.152	0.390	-0.227	0.390	-0.224	0.390	-0.224	0.390	-0.161		
0.390	-0.265	0.390	-0.251	0.390	-0.224	0.390	-0.230	0.390	-0.213	0.390	-0.185	0.390	-0.195	0.390	-0.185		
0.389	-0.299	0.389	-0.267	0.389	-0.287	0.389	-0.265	0.389	-0.213	0.389	-0.259	0.389	-0.184	0.389	-0.210		
0.389	-0.285	0.389	-0.322	0.389	-0.222	0.389	-0.274	0.389	-0.207	0.389	-0.231	0.389	-0.265	0.389	-0.212		
0.388	-0.291	0.388	-0.288	0.388	-0.227	0.388	-0.222	0.388	-0.271	0.388	-0.271	0.388	-0.241	0.388	-0.273		
0.388	-0.222	0.388	-0.282	0.388	-0.267	0.388	-0.244	0.388	-0.213	0.388	-0.207	0.388	-0.231	0.388	-0.204		
0.387	-0.296	0.387	-0.279	0.387	-0.262	0.387	-0.210	0.387	-0.182	0.387	-0.153	0.387	-0.262	0.387	-0.181		
0.387	-0.282	0.387	-0.181	0.387	-0.231	0.387	-0.150	0.387	-0.248	0.387	-0.224	0.387	-0.176	0.387	-0.161		
0.386	-0.215	0.386	-0.195	0.386	-0.245	0.386	-0.212	0.386	-0.236	0.386	-0.201	0.386	-0.196	0.386	-0.202		
0.386	-0.270	0.386	-0.162	0.386	-0.324	0.386	-0.236	0.386	-0.235	0.386	-0.261	0.386	-0.268	0.386	-0.205		
0.385	-0.307	0.385	-0.189	0.385	-0.299	0.385	-0.273	0.385	-0.235	0.385	-0.230	0.385	-0.236	0.385	-0.282		
0.385	-0.216	0.385	-0.259	0.385	-0.279	0.385	-0.294	0.385	-0.198	0.385	-0.262	0.385	-0.261	0.385	-0.176		
0.384	-0.239	0.384	-0.285	0.384	-0.261	0.384	-0.265	0.384	-0.258	0.384	-0.242	0.384	-0.230	0.384	-0.213		
0.384	-0.262	0.384	-0.205	0.384	-0.256	0.384	-0.201	0.384	-0.270	0.384	-0.185	0.384	-0.202	0.384	-0.181		
0.383	-0.241	0.383	-0.190	0.383	-0.294	0.383	-0.276	0.383	-0.248	0.383	-0.238	0.383	-0.179	0.383	-0.224		
0.383	-0.253	0.383	-0.271	0.383	-0.231	0.383	-0.273	0.383	-0.248	0.383	-0.245	0.383	-0.231	0.383	-0.247		
0.382	-0.231	0.382	-0.219	0.382	-0.225	0.382	-0.265	0.382	-0.187	0.382	-0.231	0.382	-0.238	0.382	-0.164		
0.382	-0.258	0.382	-0.262	0.382	-0.196	0.382	-0.215	0.382	-0.199	0.382	-0.176	0.382	-0.198	0.382	-0.178		
