E /V	I /uA	E /V	I /uA	E /V	I /uA
0.025	0.686	0.025	0.680	0.025	0.673
0.025	0.706	0.025	0.710	0.025	0.650
0.026	0.795	0.026	0.693	0.026	0.749
0.026	0.804	0.026	0.710	0.026	0.696
0.027	0.749	0.027	0.680	0.027	0.692
0.028	0.750	0.028	0.752	0.028	0.775
0.028	0.741	0.028	0.722	0.028	0.741
0.029	0.669	0.029	0.698	0.029	0.752
0.029	0.703	0.029	0.710	0.029	0.689
0.029	0.710	0.029	0.710	0.029	0.752
0.030	0.736	0.030	0.695	0.030	0.758
0.030	0.750	0.030	0.715	0.030	0.709
0.031	0.739	0.031	0.706	0.031	0.749
0.032	0.676	0.032	0.729	0.032	0.698
0.032	0.744	0.032	0.765	0.032	0.716
0.033	0.710	0.033	0.772	0.033	0.676
0.033	0.776	0.033	0.772	0.033	0.756
0.034	0.790	0.034	0.710	0.034	0.772
0.034	0.752	0.034	0.756	0.034	0.745
0.035	0.719	0.035	0.701	0.035	0.710
0.035	0.744	0.035	0.729	0.035	0.698
0.035	0.756	0.035	0.767	0.035	0.745
0.036	0.784	0.036	0.721	0.036	0.687
0.036	0.718	0.036	0.749	0.036	0.750
0.037	0.744	0.037	0.699	0.037	0.726
0.037	0.795	0.037	0.715	0.037	0.712
0.038	0.877	0.038	0.839	0.038	0.827
0.038	0.764	0.038	0.739	0.038	0.796
0.039	0.730	0.039	0.707	0.039	0.808
0.040	0.776	0.040	0.726	0.040	0.759
0.040	0.733	0.040	0.698	0.040	0.801
0.041	0.779	0.041	0.810	0.041	0.811
0.041	0.796	0.041	0.796	0.041	0.764
0.042	0.747	0.042	0.736	0.042	0.772
0.042	0.790	0.042	0.801	0.042	0.773
0.043	0.776	0.043	0.712	0.043	0.778
0.043	0.790	0.043	0.742	0.043	0.707
0.043	0.781	0.043	0.784	0.043	0.755
0.044	0.808	0.044	0.822	0.044	0.741
0.044	0.827	0.044	0.767	0.044	0.799
0.045	0.787	0.045	0.724	0.045	0.798
0.045	0.847	0.045	0.735	0.045	0.761
0.046	0.844	0.046	0.787	0.046	0.778
0.046	0.810	0.046	0.724	0.046	0.745
0.047	0.764	0.047	0.750	0.047	0.798
