E /V	I /uA	E /V	I /uA	E /V	I /uA
0.280	0.867	0.280	0.411	0.280	0.258
0.281	0.857	0.281	0.410	0.281	0.239
0.282	0.845	0.282	0.420	0.282	0.261
0.283	0.822	0.283	0.405	0.283	0.235
0.284	0.796	0.284	0.408	0.284	0.256
0.285	0.784	0.285	0.416	0.285	0.244
0.286	0.782	0.286	0.393	0.286	0.247
0.287	0.773	0.287	0.410	0.287	0.259
0.288	0.768	0.288	0.430	0.288	0.249
0.289	0.750	0.289	0.402	0.289	0.226
0.290	0.678	0.290	0.394	0.290	0.235
0.291	0.712	0.291	0.400	0.291	0.239
0.292	0.695	0.292	0.368	0.292	0.235
0.293	0.652	0.293	0.400	0.293	0.253
0.294	0.653	0.294	0.416	0.294	0.227
0.295	0.643	0.295	0.373	0.295	0.235
0.296	0.595	0.296	0.379	0.296	0.252
0.297	0.569	0.297	0.388	0.297	0.245
0.298	0.584	0.298	0.387	0.298	0.249
0.299	0.575	0.299	0.377	0.299	0.242
0.300	0.557	0.300	0.368	0.300	0.230
0.301	0.571	0.301	0.382	0.301	0.244
0.302	0.575	0.302	0.359	0.302	0.221
0.303	0.564	0.303	0.374	0.303	0.235
0.304	0.538	0.304	0.347	0.304	0.239
0.305	0.491	0.305	0.353	0.305	0.252
0.306	0.508	0.306	0.365	0.306	0.222
0.307	0.491	0.307	0.338	0.307	0.221
0.308	0.522	0.308	0.359	0.308	0.213
0.309	0.509	0.309	0.364	0.309	0.203
0.310	0.483	0.310	0.348	0.310	0.204
0.311	0.491	0.311	0.362	0.311	0.226
0.312	0.431	0.312	0.367	0.312	0.192
0.313	0.443	0.313	0.376	0.313	0.210
0.314	0.440	0.314	0.367	0.314	0.218
0.315	0.436	0.315	0.361	0.315	0.227
0.316	0.459	0.316	0.370	0.316	0.221
0.317	0.422	0.317	0.345	0.317	0.221
0.318	0.439	0.318	0.345	0.318	0.212
0.319	0.420	0.319	0.351	0.319	0.233
0.320	0.414	0.320	0.348	0.320	0.247
0.321	0.439	0.321	0.338	0.321	0.232
0.322	0.403	0.322	0.333	0.322	0.226
0.323	0.393	0.323	0.330	0.323	0.253
0.324	0.368	0.324	0.341	0.324	0.212
0.325	0.380	0.325	0.328	0.325	0.212
0.326	0.387	0.326	0.330	0.326	0.216
0.327	0.377	0.327	0.322	0.327	0.230
0.328	0.394	0.328	0.342	0.328	0.221
0.329	0.382	0.329	0.345	0.329	0.218
0.330	0.373	0.330	0.338	0.330	0.222
0.331	0.382	0.331	0.342	0.331	0.232
0.332	0.374	0.332	0.322	0.332	0.219
0.333	0.373	0.333	0.341	0.333	0.215
0.334	0.353	0.334	0.331	0.334	0.235
0.335	0.342	0.335	0.316	0.335	0.230
0.336	0.373	0.336	0.348	0.336	0.250
0.337	0.338	0.337	0.331	0.337	0.230
0.338	0.370	0.338	0.330	0.338	0.242
0.339	0.362	0.339	0.308	0.339	0.226
0.340	0.364	0.340	0.308	0.340	0.236
0.341	0.361	0.341	0.311	0.341	0.226
0.342	0.359	0.342	0.279	0.342	0.212
0.343	0.371	0.343	0.331	0.343	0.227
0.344	0.347	0.344	0.325	0.344	0.232
0.345	0.370	0.345	0.319	0.345	0.221
0.346	0.364	0.346	0.319	0.346	0.224
0.347	0.351	0.347	0.325	0.347	0.226
0.348	0.334	0.348	0.342	0.348	0.230
0.349	0.345	0.349	0.322	0.349	0.226
0.350	0.328	0.350	0.319	0.350	0.222
0.351	0.339	0.351	0.318	0.351	0.216
0.352	0.322	0.352	0.307	0.352	0.239
0.353	0.347	0.353	0.322	0.353	0.221
0.354	0.370	0.354	0.325	0.354	0.221
0.355	0.348	0.355	0.299	0.355	0.233
0.356	0.344	0.356	0.307	0.356	0.215
0.357	0.324	0.357	0.313	0.357	0.216
0.358	0.322	0.358	0.318	0.358	0.241
0.359	0.338	0.359	0.324	0.359	0.215
0.360	0.344	0.360	0.301	0.360	0.230
0.361	0.341	0.361	0.299	0.361	0.232
0.362	0.354	0.362	0.308	0.362	0.221
0.363	0.359	0.363	0.330	0.363	0.233
0.364	0.345	0.364	0.333	0.364	0.222
0.365	0.344	0.365	0.328	0.365	0.232
0.366	0.338	0.366	0.322	0.366	0.235
0.367	0.370	0.367	0.319	0.367	0.233
0.368	0.364	0.368	0.315	0.368	0.221
