Date: 01-03-22
Time: 20:13:53

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .1000
First vertex potential (V) = .0000
Second vertex potential (V) = .6000
Step potential (V) = .00030
Scan rate (V/s) = .05000
Equilibration time (s) = 
Number of Data Points =  3932 

 Potential	  Scan 1   	  Scan 2   	  Scan 3   	
 0.014038	1.897339E-06	1.868774E-06	1.887451E-06
 0.014343	1.946777E-06	1.903931E-06	1.907227E-06
 0.014648	1.846802E-06	1.818237E-06	1.818237E-06
 0.014954	2.009399E-06	1.985230E-06	1.994019E-06
 0.015259	1.955566E-06	1.916016E-06	1.916016E-06
 0.015564	1.981934E-06	1.962158E-06	1.963257E-06
 0.015869	1.902832E-06	1.846802E-06	1.862183E-06
 0.016174	2.036865E-06	1.964356E-06	1.974243E-06
 0.016479	1.912720E-06	1.881958E-06	1.879761E-06
 0.016785	1.961060E-06	1.939087E-06	1.942383E-06
 0.017090	1.842407E-06	1.803955E-06	1.798462E-06
 0.017395	2.040161E-06	1.970947E-06	1.966553E-06
 0.017700	1.947876E-06	1.919312E-06	1.892944E-06
 0.018005	1.989624E-06	1.951172E-06	1.934692E-06
 0.018311	1.877564E-06	1.831421E-06	1.806152E-06
 0.018616	1.988525E-06	1.955566E-06	1.930298E-06
 0.018921	1.933594E-06	1.865479E-06	1.859985E-06
 0.019226	1.978638E-06	1.899536E-06	1.901733E-06
 0.019531	1.702881E-06	1.647949E-06	1.647949E-06
 0.019836	2.014893E-06	1.977539E-06	1.973145E-06
 0.020142	1.990723E-06	1.933594E-06	1.917114E-06
 0.020447	2.061035E-06	1.972046E-06	1.963257E-06
 0.020752	1.943482E-06	1.855591E-06	1.854492E-06
 0.021057	2.070923E-06	1.983032E-06	1.985230E-06
 0.021362	1.984131E-06	1.887451E-06	1.883057E-06
 0.021667	2.017090E-06	1.952271E-06	1.916016E-06
 0.021973	1.927002E-06	1.841309E-06	1.823731E-06
 0.022278	2.101685E-06	1.997315E-06	1.978638E-06
 0.022583	2.010498E-06	1.910523E-06	1.901733E-06
 0.022888	2.061035E-06	1.973145E-06	1.969849E-06
 0.023193	1.952271E-06	1.864380E-06	1.847900E-06
 0.023499	2.088501E-06	1.979736E-06	1.967651E-06
 0.023804	2.000610E-06	1.909424E-06	1.896240E-06
 0.024109	2.044556E-06	1.937988E-06	1.934692E-06
 0.024414	1.947876E-06	1.843506E-06	1.840210E-06
 0.024719	2.129150E-06	2.047852E-06	2.014893E-06
 0.025024	2.089600E-06	1.975342E-06	1.954468E-06
 0.025330	2.125855E-06	1.999512E-06	1.981934E-06
