E /V	I /uA	E /V	I /uA	E /V	I /uA
0.158	3.758	0.158	3.903	0.158	3.928
0.159	3.776	0.159	3.882	0.159	3.906
0.160	3.722	0.160	3.851	0.160	3.899
0.161	3.724	0.161	3.877	0.161	3.877
0.162	3.710	0.162	3.845	0.162	3.857
0.163	3.705	0.163	3.847	0.163	3.876
0.164	3.681	0.164	3.808	0.164	3.834
0.165	3.676	0.165	3.801	0.165	3.840
0.166	3.650	0.166	3.778	0.166	3.814
0.167	3.673	0.167	3.788	0.167	3.801
0.168	3.653	0.168	3.755	0.168	3.782
0.169	3.670	0.169	3.767	0.169	3.796
0.170	3.646	0.170	3.770	0.170	3.781
0.171	3.624	0.171	3.790	0.171	3.791
0.172	3.613	0.172	3.748	0.172	3.745
0.173	3.650	0.173	3.742	0.173	3.776
0.174	3.621	0.174	3.725	0.174	3.768
0.175	3.601	0.175	3.739	0.175	3.762
0.176	3.620	0.176	3.721	0.176	3.765
0.177	3.649	0.177	3.728	0.177	3.756
0.178	3.623	0.178	3.724	0.178	3.744
0.179	3.673	0.179	3.741	0.179	3.779
0.180	3.640	0.180	3.744	0.180	3.738
0.181	3.641	0.181	3.744	0.181	3.784
0.182	3.649	0.182	3.758	0.182	3.758
0.183	3.664	0.183	3.761	0.183	3.767
0.184	3.655	0.184	3.775	0.184	3.750
0.185	3.686	0.185	3.782	0.185	3.782
0.186	3.647	0.186	3.741	0.186	3.767
0.187	3.698	0.187	3.788	0.187	3.842
0.188	3.696	0.188	3.787	0.188	3.804
0.189	3.710	0.189	3.819	0.189	3.821
0.190	3.718	0.190	3.810	0.190	3.798
0.191	3.752	0.191	3.816	0.191	3.827
0.192	3.735	0.192	3.836	0.192	3.844
0.193	3.779	0.193	3.845	0.193	3.848
0.194	3.753	0.194	3.854	0.194	3.891
0.195	3.883	0.195	3.977	0.195	3.977
0.196	3.827	0.196	3.894	0.196	3.874
0.197	3.825	0.197	3.903	0.197	3.932
0.198	3.844	0.198	3.902	0.198	3.931
0.199	3.890	0.199	3.946	0.199	3.960
0.200	3.891	0.200	3.946	0.200	3.968
0.201	3.899	0.201	3.962	0.201	3.992
0.202	3.900	0.202	3.949	0.202	4.011
0.203	3.957	0.203	4.028	0.203	4.044
0.204	3.962	0.204	4.005	0.204	4.035
0.205	3.986	0.205	4.035	0.205	4.066
0.206	3.994	0.206	4.017	0.206	4.043
0.207	4.008	0.207	4.060	0.207	4.080
0.208	4.012	0.208	4.064	0.208	4.090
0.209	4.015	0.209	4.067	0.209	4.126
0.210	4.032	0.210	4.087	0.210	4.127
0.211	4.103	0.211	4.127	0.211	4.166
0.212	4.074	0.212	4.092	0.212	4.153
0.213	4.057	0.213	4.095	0.213	4.164
0.214	4.060	0.214	4.080	0.214	4.120
0.215	4.066	0.215	4.106	0.215	4.147
0.216	4.041	0.216	4.092	0.216	4.121
0.217	4.041	0.217	4.067	0.217	4.129
0.218	3.991	0.218	4.055	0.218	4.133
0.219	4.026	0.219	4.047	0.219	4.144
0.220	3.974	0.220	4.029	0.220	4.092
0.221	3.948	0.221	4.014	0.221	4.078
0.222	3.926	0.222	3.966	0.222	4.017
0.223	3.891	0.223	3.951	0.223	4.020
0.224	3.863	0.224	3.900	0.224	3.986
0.225	3.802	0.225	3.882	0.225	3.942
0.226	3.759	0.226	3.834	0.226	3.906
0.227	3.744	0.227	3.804	0.227	3.888
0.228	3.653	0.228	3.709	0.228	3.790
0.229	3.580	0.229	3.675	0.229	3.753
0.230	3.532	0.230	3.604	0.230	3.652
0.231	3.497	0.231	3.564	0.231	3.626
0.232	3.408	0.232	3.485	0.232	3.548
0.233	3.371	0.233	3.429	0.233	3.471
0.234	3.281	0.234	3.360	0.234	3.413
0.235	3.229	0.235	3.331	0.235	3.370
0.236	3.141	0.236	3.218	0.236	3.282
0.237	3.098	0.237	3.179	0.237	3.241
0.238	3.043	0.238	3.087	0.238	3.155
0.239	2.979	0.239	3.066	0.239	3.101
0.240	2.902	0.240	2.985	0.240	3.023
0.241	2.840	0.241	2.945	0.241	2.988
0.242	2.788	0.242	2.862	0.242	2.929
0.243	2.713	0.243	2.840	0.243	2.871
0.244	2.646	0.244	2.742	0.244	2.790
0.245	2.623	0.245	2.719	0.245	2.761
0.246	2.554	0.246	2.627	0.246	2.684
0.247	2.523	0.247	2.609	0.247	2.640
0.248	2.466	0.248	2.548	0.248	2.580
0.249	2.414	0.249	2.498	0.249	2.520
0.250	2.354	0.250	2.439	0.250	2.469
0.251	2.299	0.251	2.400	0.251	2.431
0.252	2.259	0.252	2.356	0.252	2.383
0.253	2.227	0.253	2.316	0.253	2.334
0.254	2.181	0.254	2.270	0.254	2.282
0.255	2.126	0.255	2.239	0.255	2.252
0.256	2.092	0.256	2.178	0.256	2.192
0.257	2.049	0.257	2.156	0.257	2.163
0.258	2.025	0.258	2.097	0.258	2.121
0.259	2.002	0.259	2.074	0.259	2.120
